schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,semantic_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V1-S112-XREF-001,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112BA,section-reference,,1,112B,112Ba,135,selected-corpus-pending,authority/fremlin/source/mt1.2011/mt112.tex:70: (See also \S135.),"{""basis"":""explicit source reference; printed ranges are expanded into separate edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S112-XREF-002,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112BD,section-reference,,2,112Bd,112Bd,114,selected-corpus-pending,"authority/fremlin/source/mt1.2011/mt112.tex:105: to wait until \S\S114 and 115 below.   However, I can describe","{""basis"":""explicit source reference; printed ranges are expanded into separate edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S112-XREF-003,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112BD,section-reference,,3,112Bd,112Bd,115,selected-corpus-pending,"authority/fremlin/source/mt1.2011/mt112.tex:105: to wait until \S\S114 and 115 below.   However, I can describe","{""basis"":""explicit source reference; printed ranges are expanded into separate edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S112-XREF-004,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112CB,result-reference,O007-FREMLIN-V1-S111-SEG-111DC,4,112C,112Cb,111Dc,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt112.tex:190: {\bf (b)} $F\setminus E\in\Sigma$ (111Dc) and,"{""basis"":""explicit source reference; printed ranges are expanded into separate edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S112-XREF-005,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112C,example-reference,O007-FREMLIN-V1-S112-SEG-112BD,5,112C,112C,112Bd,resolved-in-unit,authority/fremlin/source/mt1.2011/mt112.tex:256: $\inf_{n\in\Bbb N}\mu E_n<\infty$.   The construction in 112Bd is,"{""basis"":""explicit source reference; printed ranges are expanded into separate edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S112-XREF-006,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112DB,result-reference,O007-FREMLIN-V1-S112-SEG-112CD,6,112Db,112Db,112Cd,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt112.tex:284: $\mu(\bigcup_{n\in\Bbb N}E_n)\le\sum_{n=0}^{\infty}\mu E_n$, by 112Cd,","{""basis"":""explicit source reference; printed ranges are expanded into separate edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S112-XREF-007,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112DF,section-reference,,7,112Df,112Df,211,selected-corpus-pending,authority/fremlin/source/mt1.2011/mt112.tex:343: {\bf complete}.   I will return to this question in \S211.),"{""basis"":""explicit source reference; printed ranges are expanded into separate edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S112-XREF-008,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112-NOTES,result-range-reference,O007-FREMLIN-V1-S112-SEG-112CA,8,112,112,112Ca,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt112.tex:526: \Notesheader{112} The calculations in such results as 112Ca-112Cc,","{""basis"":""explicit source reference; printed ranges are expanded into separate edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S112-XREF-009,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112-NOTES,result-range-reference,O007-FREMLIN-V1-S112-SEG-112CB,9,112,112,112Cb,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt112.tex:526: \Notesheader{112} The calculations in such results as 112Ca-112Cc,","{""basis"":""explicit source reference; printed ranges are expanded into separate edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S112-XREF-010,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112-NOTES,result-range-reference,O007-FREMLIN-V1-S112-SEG-112CC,10,112,112,112Cc,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt112.tex:526: \Notesheader{112} The calculations in such results as 112Ca-112Cc,","{""basis"":""explicit source reference; printed ranges are expanded into separate edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
