schema_version,record_type,id,unit_id,subject_id,relation_type,object_id,order,source_locator,provenance
1.1.0,relation,O007-FREMLIN-V1-S113-REL-015,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-PROOF-113CC,proves,O007-FREMLIN-V1-S113-RESULT-113C,15,,"{""basis"":""printed bold clause (c) inside the single proof macro for theorem 113C"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-016,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-PROOF-113CD,proves,O007-FREMLIN-V1-S113-RESULT-113C,16,,"{""basis"":""printed bold clause (d) inside the single proof macro for theorem 113C"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-017,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-PROOF-113CE,proves,O007-FREMLIN-V1-S113-RESULT-113C,17,,"{""basis"":""printed bold clause (e) inside the single proof macro for theorem 113C"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-018,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113XA,exercise-in-unit,O007-FREMLIN-V1-S113,18,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-019,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113XB,exercise-in-unit,O007-FREMLIN-V1-S113,19,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-020,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113XC,exercise-in-unit,O007-FREMLIN-V1-S113,20,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-021,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113XD,exercise-in-unit,O007-FREMLIN-V1-S113,21,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-022,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113XE,exercise-in-unit,O007-FREMLIN-V1-S113,22,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-023,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113XF,exercise-in-unit,O007-FREMLIN-V1-S113,23,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-024,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113XG,exercise-in-unit,O007-FREMLIN-V1-S113,24,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-025,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113XH,exercise-in-unit,O007-FREMLIN-V1-S113,25,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-026,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113YA,exercise-in-unit,O007-FREMLIN-V1-S113,26,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-027,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113YB,exercise-in-unit,O007-FREMLIN-V1-S113,27,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-028,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113YC,exercise-in-unit,O007-FREMLIN-V1-S113,28,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-029,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113YD,exercise-in-unit,O007-FREMLIN-V1-S113,29,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-030,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113YE,exercise-in-unit,O007-FREMLIN-V1-S113,30,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-031,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113YF,exercise-in-unit,O007-FREMLIN-V1-S113,31,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-032,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113YG,exercise-in-unit,O007-FREMLIN-V1-S113,32,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-033,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113YH,exercise-in-unit,O007-FREMLIN-V1-S113,33,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-034,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113YI,exercise-in-unit,O007-FREMLIN-V1-S113,34,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-035,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113YJ,exercise-in-unit,O007-FREMLIN-V1-S113,35,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-036,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-EXERCISE-113YK,exercise-in-unit,O007-FREMLIN-V1-S113,36,,"{""basis"":""complete source exercise retained"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-037,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-HINT-113YD-01,hint-for,O007-FREMLIN-V1-S113-EXERCISE-113YD,37,,"{""basis"":""active source Hint macro"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-038,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-HINT-113YI-01,hint-for,O007-FREMLIN-V1-S113-EXERCISE-113YI,38,,"{""basis"":""active source Hint macro"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-039,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-ASSET-MT113C1-PS,figure-used-at,O007-FREMLIN-V1-S113-SEG-113CC,39,,"{""basis"":""two conditional source layout uses"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-040,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-ASSET-MT113C2-PS,figure-used-at,O007-FREMLIN-V1-S113-SEG-113CC,40,,"{""basis"":""two conditional source layout uses"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-041,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-ASSET-MT113C3-PS,figure-used-at,O007-FREMLIN-V1-S113-SEG-113CC,41,,"{""basis"":""two conditional source layout uses"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-042,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-ASSET-MT113C4-PS,figure-used-at,O007-FREMLIN-V1-S113-SEG-113CC,42,,"{""basis"":""two conditional source layout uses"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-043,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113D,semantic-shorthand-reference,O007-FREMLIN-V1-S113-SEG-113CA,43,authority/fremlin/source/mt1.2011/mt113.tex:222: \leader{113D}{Remark} Note\cmmnt{ from (a) in the proof above} that in,"{""basis"":""printed shorthand (a) in the proof above"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-044,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113XF,semantic-shorthand-reference,O007-FREMLIN-V1-S113-SEG-113XC,44,"authority/fremlin/source/mt1.2011/mt113.tex:281: (1A1Bc).   Explain how this is a common generalization of (c),","{""basis"":""printed shorthand (c) above"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-045,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113XF,semantic-shorthand-reference,O007-FREMLIN-V1-S113-SEG-113XD,45,"authority/fremlin/source/mt1.2011/mt113.tex:281: (1A1Bc).   Explain how this is a common generalization of (c),","{""basis"":""printed shorthand (d-i) above"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-046,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113XF,semantic-shorthand-reference,O007-FREMLIN-V1-S113-SEG-113XE,46,"authority/fremlin/source/mt1.2011/mt113.tex:282: (d-i) and (e) above, and how it can be proved by putting them together.","{""basis"":""printed shorthand (e) above"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-047,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113YB,semantic-shorthand-reference,O007-FREMLIN-V1-S113-SEG-113YA,47,authority/fremlin/source/mt1.2011/mt113.tex:315: where $\mu^*$ is defined as in (a) above;  show that,"{""basis"":""printed shorthand (a) above"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-048,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113CD,semantic-shorthand-reference,O007-FREMLIN-V1-S113-SEG-113CA,48,"authority/fremlin/source/mt1.2011/mt113.tex:178: arbitrary, so $E\in\Sigma$, by the remark in (a) above.","{""basis"":""printed shorthand the remark in (a) above"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-049,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113CE,semantic-shorthand-reference,O007-FREMLIN-V1-S113-SEG-113CD,49,"authority/fremlin/source/mt1.2011/mt113.tex:194: \noindent As in (d),","{""basis"":""printed shorthand as in (d)"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-050,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113CE,semantic-shorthand-reference,O007-FREMLIN-V1-S113-SEG-113CD,50,authority/fremlin/source/mt1.2011/mt113.tex:200: =\mu E_{n+1}+\mu G_n\cr}$$,"{""basis"":""printed shorthand As in (d)"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-051,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113-NOTES,semantic-shorthand-reference,O007-FREMLIN-V1-S113-SEG-113CA,51,authority/fremlin/source/mt1.2011/mt113.tex:435: the parts involving sequences of sets ((d)-(e));   the former amount to,"{""basis"":""printed shorthand parts (a)-(c)"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-052,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113-NOTES,semantic-shorthand-reference,O007-FREMLIN-V1-S113-SEG-113CB,52,authority/fremlin/source/mt1.2011/mt113.tex:435: the parts involving sequences of sets ((d)-(e));   the former amount to,"{""basis"":""printed shorthand parts (a)-(c)"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-053,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113-NOTES,semantic-shorthand-reference,O007-FREMLIN-V1-S113-SEG-113CC,53,authority/fremlin/source/mt1.2011/mt113.tex:435: the parts involving sequences of sets ((d)-(e));   the former amount to,"{""basis"":""printed shorthand parts (a)-(c)"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-054,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113-NOTES,semantic-shorthand-reference,O007-FREMLIN-V1-S113-SEG-113CD,54,authority/fremlin/source/mt1.2011/mt113.tex:436: a proof of 113Xh.   Outer measures of various kinds appear throughout,"{""basis"":""printed shorthand parts (d)-(e)"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-055,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113-NOTES,semantic-shorthand-reference,O007-FREMLIN-V1-S113-SEG-113CE,55,authority/fremlin/source/mt1.2011/mt113.tex:436: a proof of 113Xh.   Outer measures of various kinds appear throughout,"{""basis"":""printed shorthand parts (d)-(e)"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
