schema_version,record_type,id,unit_id,subject_id,relation_type,object_id,order,source_locator,provenance
1.1.0,relation,O007-FREMLIN-V1-S113-REL-001,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113BA,semantic-child-of,O007-FREMLIN-V1-S113-SEG-113B,1,,"{""basis"":""implicit printed paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-002,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113CA,semantic-child-of,O007-FREMLIN-V1-S113-SEG-113C,2,,"{""basis"":""implicit printed paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-003,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113CB,semantic-child-of,O007-FREMLIN-V1-S113-SEG-113C,3,,"{""basis"":""implicit printed paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-004,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113CC,semantic-child-of,O007-FREMLIN-V1-S113-SEG-113C,4,,"{""basis"":""implicit printed paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-005,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113CD,semantic-child-of,O007-FREMLIN-V1-S113-SEG-113C,5,,"{""basis"":""implicit printed paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-006,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113CE,semantic-child-of,O007-FREMLIN-V1-S113-SEG-113C,6,,"{""basis"":""implicit printed paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-007,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113XA,semantic-child-of,O007-FREMLIN-V1-S113-SEG-113X,7,,"{""basis"":""implicit printed paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-008,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113YA,semantic-child-of,O007-FREMLIN-V1-S113-SEG-113Y,8,,"{""basis"":""implicit printed paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-009,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-DEF-OUTER-MEASURE,defined-at,O007-FREMLIN-V1-S113-SEG-113A,9,,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-010,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-DEF-SUBSPACE-MEASURE,defined-at,O007-FREMLIN-V1-S113-SEG-113YB,10,,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-011,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-DEF-ALGEBRA-OF-SETS,defined-at,O007-FREMLIN-V1-S113-SEG-113YI,11,,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-012,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-RESULT-113C,stated-at,O007-FREMLIN-V1-S113-SEG-113C,12,,"{""basis"":""result-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-013,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-PROOF-113CA,proves,O007-FREMLIN-V1-S113-RESULT-113C,13,,"{""basis"":""printed bold clause (a) inside the single proof macro for theorem 113C"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S113-REL-014,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-PROOF-113CB,proves,O007-FREMLIN-V1-S113-RESULT-113C,14,,"{""basis"":""printed bold clause (b) inside the single proof macro for theorem 113C"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
