schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0001,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242AA,source-reference,O007-FREMLIN-XREF-122P,1,242Aa,122P,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:35,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0002,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242AA,source-reference,O007-FREMLIN-XREF-122R,2,242Aa,122R,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:35,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0003,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242AB,source-reference,O007-FREMLIN-XREF-122Rb,3,242Ab,122Rb,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:42,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0004,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242AC,source-reference,O007-FREMLIN-XREF-214D,4,242Ac,214D,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:52,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0005,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242AC,source-reference,O007-FREMLIN-XREF-131Fa,5,242Ac,131Fa,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:59,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0006,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242AD,source-reference,O007-FREMLIN-XREF-241Bk,6,242Ad,241Bk,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:63,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0007,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242CA,source-reference,O007-FREMLIN-XREF-241E,7,242Ca,241E,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:93,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0008,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242CA,source-reference,O007-FREMLIN-XREF-241Ec,8,242Ca,241Ec,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:98,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0009,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242CA,source-reference,O007-FREMLIN-XREF-122Od,9,242Ca,122Od,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:103,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0010,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242CE,source-reference,O007-FREMLIN-XREF-131Fb,10,242Ce,131Fb,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:142,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0011,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242CE,source-reference,O007-FREMLIN-XREF-131Fc,11,242Ce,131Fc,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:146,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0012,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242CF,source-reference,O007-FREMLIN-XREF-241Eg,12,242Cf,241Eg,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:150,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0013,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242DA,source-reference,O007-FREMLIN-XREF-241Ee,13,242Da,241Ee,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:160,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0014,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242DA,source-reference,O007-FREMLIN-XREF-122Rc,14,242Da,122Rc,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:172,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0015,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242E,source-reference,O007-FREMLIN-XREF-123A,15,242E,123A,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:232,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0016,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242E,source-reference,O007-FREMLIN-XREF-241Ef,16,242E,241Ef,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:247,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0017,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242F,source-reference,O007-FREMLIN-V2-S242-SEG-242E,17,242F,242E,resolved-in-unit,authority/fremlin/source/mt2.2016/mt242.tex:284,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0018,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242G,source-reference,O007-FREMLIN-XREF-241Ee,18,242G,241Ee,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:304,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0019,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242G,source-reference,O007-FREMLIN-V2-S242-SEG-242DC,19,242G,242Dc,resolved-in-unit,authority/fremlin/source/mt2.2016/mt242.tex:305,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0020,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242G,source-reference,O007-FREMLIN-V2-S242-SEG-242F,20,242G,242F,resolved-in-unit,authority/fremlin/source/mt2.2016/mt242.tex:305,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0021,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242H,source-reference,O007-FREMLIN-XREF-241E,21,242H,241E,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:312,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0022,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242H,source-reference,O007-FREMLIN-XREF-241G,22,242H,241G,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:312,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S242-XREF-0023,O007-FREMLIN-V2-S242,O007-FREMLIN-V2-S242-SEG-242H,source-reference,O007-FREMLIN-XREF-241Ga,23,242H,241Ga,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt242.tex:330,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
