schema_version,record_type,id,unit_id,subject_id,relation_type,object_id,order,source_locator,provenance
1.1.0,relation,O007-FREMLIN-V1-S114-REL-001,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114AA,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114A,1,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-002,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114DA,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114D,2,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-003,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114DB,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114D,3,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-004,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114XA,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114X,4,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-005,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114YA,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114Y,5,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-006,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114BA,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114B,6,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-007,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114BB,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114B,7,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-008,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114BC,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114B,8,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-009,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114BD,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114B,9,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-010,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114FA,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114F,10,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-011,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114FB,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114F,11,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-012,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114GA,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114G,12,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-013,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114GB,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114G,13,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-014,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114GC,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114G,14,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-015,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114GD,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114G,15,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-016,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114GE,semantic-child-of,O007-FREMLIN-V1-S114-SEG-114G,16,,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-017,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-DEF-HALF-OPEN-INTERVAL,defined-at,O007-FREMLIN-V1-S114-SEG-114AA,17,,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S114-REL-018,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-DEF-LENGTH,defined-at,O007-FREMLIN-V1-S114-SEG-114AB,18,,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
