schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,correction_ids,provenance
1.1.0,formula,O007-FREMLIN-V1-S112-FORMULA-0001,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S112-SEG-112A,1,112A,112A,14,14,344,360,359,375,"(X,\Sigma,\mu)","(X,\Sigma,\mu)",05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,$,,"{""basis"":""ordered TeX math atom; exact symbolic replay except the correction IDs explicitly linked on this record"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S112-FORMULA-0002,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S112-SEG-112A,2,112A,112A,16,16,377,380,393,396,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,,"{""basis"":""ordered TeX math atom; exact symbolic replay except the correction IDs explicitly linked on this record"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S112-FORMULA-0003,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S112-SEG-112A,3,112A,112A,18,18,402,410,424,432,\Sigma,\Sigma,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,d65d75b1e6562713a3936bb38fdfe6832fb5b96c946de58f7ce0992057665aa8,$,,"{""basis"":""ordered TeX math atom; exact symbolic replay except the correction IDs explicitly linked on this record"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S112-FORMULA-0004,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S112-SEG-112A,4,112A,112A,18,18,416,424,447,455,\sigma,\sigma,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,$,,"{""basis"":""ordered TeX math atom; exact symbolic replay except the correction IDs explicitly linked on this record"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S112-FORMULA-0005,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S112-SEG-112A,5,112A,112A,18,18,447,450,485,488,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,,"{""basis"":""ordered TeX math atom; exact symbolic replay except the correction IDs explicitly linked on this record"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S112-FORMULA-0006,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S112-SEG-112A,6,112A,112A,20,20,464,489,502,527,"\mu:\Sigma\to[0,\infty]","\mu:\Sigma\to[0,\infty]",4f8a9f21a76bee9b3b9f267f651e11cd30bd734ab4297136f4c345704939e2f2,4f8a9f21a76bee9b3b9f267f651e11cd30bd734ab4297136f4c345704939e2f2,4f8a9f21a76bee9b3b9f267f651e11cd30bd734ab4297136f4c345704939e2f2,$,,"{""basis"":""ordered TeX math atom; exact symbolic replay except the correction IDs explicitly linked on this record"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S112-FORMULA-0007,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S112-SEG-112A,7,112A,112A,22,22,522,530,569,577,\alpha,\alpha,4893e9df8b5496ebe7a0f1c2cc92a39fb6df03085030e3b97cfcc4d45136db5a,4893e9df8b5496ebe7a0f1c2cc92a39fb6df03085030e3b97cfcc4d45136db5a,4893e9df8b5496ebe7a0f1c2cc92a39fb6df03085030e3b97cfcc4d45136db5a,$,,"{""basis"":""ordered TeX math atom; exact symbolic replay except the correction IDs explicitly linked on this record"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S112-FORMULA-0008,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S112-SEG-112A,8,112A,112A,22,22,532,548,579,595,\mu\emptyset=0,\mu\emptyset=0,5809866f307f139add10e587816390ed40d92437d119e8188abe85131527fb95,5809866f307f139add10e587816390ed40d92437d119e8188abe85131527fb95,5809866f307f139add10e587816390ed40d92437d119e8188abe85131527fb95,$,,"{""basis"":""ordered TeX math atom; exact symbolic replay except the correction IDs explicitly linked on this record"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S112-FORMULA-0009,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S112-SEG-112A,9,112A,112A,24,24,558,565,605,612,\beta,\beta,f3f3804480e8551ac91a68ccc198310e514ec1424346595aca42a3a558ddee0a,f3f3804480e8551ac91a68ccc198310e514ec1424346595aca42a3a558ddee0a,f3f3804480e8551ac91a68ccc198310e514ec1424346595aca42a3a558ddee0a,$,,"{""basis"":""ordered TeX math atom; exact symbolic replay except the correction IDs explicitly linked on this record"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S112-FORMULA-0010,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S112-SEG-112A,10,112A,112A,24,24,570,603,619,652,\langle E_n\rangle_{n\in\Bbb N},\langle E_n\rangle_{n\in\Bbb N},705523b1e443112bfe7e49097ed775865a0c1b0262504e58a7759405f1523c7b,705523b1e443112bfe7e49097ed775865a0c1b0262504e58a7759405f1523c7b,10e29aed3353023b170869c4aac7aac23b33ba7104f37da4731e0722ee3ab858,$,,"{""basis"":""ordered TeX math atom; exact symbolic replay except the correction IDs explicitly linked on this record"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
