schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,semantic_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V1-S115-XREF-001,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115-INTRO,section-range-reference,O007-FREMLIN-V1-S111,1,115,115-intro,111,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt115.tex:12: Following the very abstract ideas of \S\S111-113, there is an urgent","{""basis"":""explicit printed source reference; printed ranges and slash pairs expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S115-XREF-002,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115-INTRO,section-range-reference,O007-FREMLIN-V1-S112,2,115,115-intro,112,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt115.tex:12: Following the very abstract ideas of \S\S111-113, there is an urgent","{""basis"":""explicit printed source reference; printed ranges and slash pairs expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S115-XREF-003,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115-INTRO,section-range-reference,O007-FREMLIN-V1-S113,3,115,115-intro,113,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt115.tex:12: Following the very abstract ideas of \S\S111-113, there is an urgent","{""basis"":""explicit printed source reference; printed ranges and slash pairs expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S115-XREF-004,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115-INTRO,section-range-reference,O007-FREMLIN-V1-S115-SEG-115A,4,115,115-intro,115A,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt115.tex:16: proceed to a definition of these measures (115A-115E), with a few of","{""basis"":""explicit printed source reference; printed ranges and slash pairs expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S115-XREF-005,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115-INTRO,section-range-reference,O007-FREMLIN-V1-S115-SEG-115B,5,115,115-intro,115B,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt115.tex:16: proceed to a definition of these measures (115A-115E), with a few of","{""basis"":""explicit printed source reference; printed ranges and slash pairs expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S115-XREF-006,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115-INTRO,section-range-reference,O007-FREMLIN-V1-S115-SEG-115C,6,115,115-intro,115C,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt115.tex:16: proceed to a definition of these measures (115A-115E), with a few of","{""basis"":""explicit printed source reference; printed ranges and slash pairs expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S115-XREF-007,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115-INTRO,section-range-reference,O007-FREMLIN-V1-S115-SEG-115D,7,115,115-intro,115D,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt115.tex:16: proceed to a definition of these measures (115A-115E), with a few of","{""basis"":""explicit printed source reference; printed ranges and slash pairs expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S115-XREF-008,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115-INTRO,section-range-reference,O007-FREMLIN-V1-S115-SEG-115E,8,115,115-intro,115E,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt115.tex:16: proceed to a definition of these measures (115A-115E), with a few of","{""basis"":""explicit printed source reference; printed ranges and slash pairs expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S115-XREF-009,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115-INTRO,result-reference,O007-FREMLIN-V1-S115-SEG-115B,9,115,115-intro,115B,resolved-in-unit,authority/fremlin/source/mt1.2011/mt115.tex:18: fundamental lemma 115B) this section does not rely essentially on \S114;,"{""basis"":""explicit printed source reference; printed ranges and slash pairs expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S115-XREF-010,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115-SEG-115-INTRO,section-reference,O007-FREMLIN-V1-S114,10,115,115-intro,114,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt115.tex:18: fundamental lemma 115B) this section does not rely essentially on \S114;,"{""basis"":""explicit printed source reference; printed ranges and slash pairs expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
