schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0001,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213-INTRO,source-reference,O007-FREMLIN-V2-S213-SEG-213A,1,213-intro,213A,resolved-in-unit,authority/fremlin/source/mt2.2016/mt213.tex:12,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0002,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213-INTRO,source-reference,O007-FREMLIN-V2-S213-SEG-213B,2,213-intro,213B,resolved-in-unit,authority/fremlin/source/mt2.2016/mt213.tex:12,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0003,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213-INTRO,source-reference,O007-FREMLIN-V2-S213-SEG-213C,3,213-intro,213C,resolved-in-unit,authority/fremlin/source/mt2.2016/mt213.tex:13,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0004,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213-INTRO,source-reference,O007-FREMLIN-V2-S213-SEG-213D,4,213-intro,213D,resolved-in-unit,authority/fremlin/source/mt2.2016/mt213.tex:14,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0005,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213-INTRO,source-reference,O007-FREMLIN-V2-S213-SEG-213H,5,213-intro,213H,resolved-in-unit,authority/fremlin/source/mt2.2016/mt213.tex:14,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0006,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213-INTRO,source-reference,O007-FREMLIN-V2-S213-SEG-213I,6,213-intro,213I,resolved-in-unit,authority/fremlin/source/mt2.2016/mt213.tex:19,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0007,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213-INTRO,source-reference,O007-FREMLIN-V2-S213-SEG-213L,7,213-intro,213L,resolved-in-unit,authority/fremlin/source/mt2.2016/mt213.tex:19,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0008,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213-INTRO,source-reference,O007-FREMLIN-V2-S213-SEG-213L,8,213-intro,213L,resolved-in-unit,authority/fremlin/source/mt2.2016/mt213.tex:21,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0009,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213-INTRO,source-reference,O007-FREMLIN-V2-S213-SEG-213M,9,213-intro,213M,resolved-in-unit,authority/fremlin/source/mt2.2016/mt213.tex:21,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0010,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213-INTRO,source-reference,O007-FREMLIN-V2-S213-SEG-213N,10,213-intro,213N,resolved-in-unit,authority/fremlin/source/mt2.2016/mt213.tex:22,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0011,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213-INTRO,source-reference,O007-FREMLIN-V2-S213-SEG-213O,11,213-intro,213O,resolved-in-unit,authority/fremlin/source/mt2.2016/mt213.tex:23,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0012,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213B,source-reference,O007-FREMLIN-XREF-122Ja,12,213B,122Ja,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt213.tex:85,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0013,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213B,source-reference,O007-FREMLIN-XREF-133B,13,213B,133B,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt213.tex:85,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0014,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213B,source-reference,O007-FREMLIN-V2-S213-SEG-213A,14,213B,213A,resolved-in-unit,authority/fremlin/source/mt2.2016/mt213.tex:102,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0015,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213B,source-reference,O007-FREMLIN-XREF-135F,15,213B,135F,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt213.tex:114,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0016,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213C,source-reference,O007-FREMLIN-XREF-132A,16,*213C,132A,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt213.tex:138,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0017,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213C,source-reference,O007-FREMLIN-XREF-132B,17,*213C,132B,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt213.tex:138,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0018,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213C,source-reference,O007-FREMLIN-XREF-132Af,18,*213C,132Af,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt213.tex:147,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0019,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213C,source-reference,O007-FREMLIN-XREF-132Ac,19,*213C,132Ac,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt213.tex:149,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S213-XREF-0020,O007-FREMLIN-V2-S213,O007-FREMLIN-V2-S213-SEG-213C,source-reference,O007-FREMLIN-XREF-132Ee,20,*213C,132Ee,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt213.tex:157,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
