schema_version,record_type,id,unit_id,rights_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-APP-2A1-SEG-2A1-INTRO,O007-FREMLIN-V2-APP-2A1,O007-RIGHTS-FREMLIN-DSL,1,2a1,2a1-intro,2a1-intro,unmarked-unit-introduction,false,exposition,2a1-intro,2a1-intro,1,43,1,43,0,1849,0,1941,6dbd578ddfce0a084aed93e5308785d6fa27b137f65bdedf47e9cebfe91e456b,5c0ec721c331daa057767bd9d8f29af1ede5589c75aeee5c8bcdd63b7192bd4b,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A1-SEG-2A1A-A,O007-FREMLIN-V2-APP-2A1,O007-RIGHTS-FREMLIN-DSL,2,2A1A,2A1A-a,2A1A,explicit,false,exposition,2A1A,2A1A,44,56,44,57,1849,2301,1941,2438,b1fe7582aff602630d1dd8be8c69f2649304e5aa6ca5364c39647033c6680d28,5a5cf62fa35bb7548e9fdcba5d6ede9e2a98788f3d4c6c7bcac9064b64b3d13c,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A1-SEG-2A1A-B,O007-FREMLIN-V2-APP-2A1,O007-RIGHTS-FREMLIN-DSL,3,2A1A,2A1A-b,2A1A,explicit,false,exposition,2A1A,2A1A,57,92,58,93,2301,3977,2438,4339,007406bc828ec3de5206f6792fd9a792d9a6789d8c2947e36244dc8be9127ed9,307a331f76c07595fd1d9d2eced175a113baca3daea9219d5accded475fc0f0d,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A1-SEG-2A1AC,O007-FREMLIN-V2-APP-2A1,O007-RIGHTS-FREMLIN-DSL,4,2A1Ac,2A1Ac,2A1Ac,explicit,false,exposition,2A1Ac,2A1Ac,93,109,94,110,3977,4514,4339,4917,b4a323d80540a803bf85325ced10c424e1d41f7a77ec7bc0dd86a42afb3f37b2,9f09e6e886d6f64d7b68d19517be74c0994b91d1a4f01e1776f8165e28b0b245,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A1-SEG-2A1AD,O007-FREMLIN-V2-APP-2A1,O007-RIGHTS-FREMLIN-DSL,5,2A1Ad,2A1Ad,2A1Ad,explicit,false,exposition,2A1Ad,2A1Ad,110,115,111,116,4514,4720,4917,5131,aa7cffd79a28d4f4d387673741cef8fc773298b541856a7852ecf177eb379082,f325be5b4053b7530085b93c7d5b37feb49e597d438d257e3e821ae05078dcc7,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A1-SEG-2A1AE,O007-FREMLIN-V2-APP-2A1,O007-RIGHTS-FREMLIN-DSL,6,2A1Ae,2A1Ae,2A1Ae,explicit,false,exposition,2A1Ae,2A1Ae,116,121,117,122,4720,5024,5131,5484,81782bf8d052dd1c551ce176281f4e52e5ddf5cf576f02b6f2b0a1ee7522925e,36e7fe675c7955d289533365105067ab499010afe7c98e5b8a7d6cc0e7e80785,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A1-SEG-2A1B,O007-FREMLIN-V2-APP-2A1,O007-RIGHTS-FREMLIN-DSL,7,2A1B,2A1B,2A1B,explicit,false,exposition,2A1B,2A1B,122,213,123,215,5024,8733,5484,9166,30ce093041f1d540847a790f77318f02c2f493b72b45297338ed24e5ef3cd8fe,a4a65ac767bcc08bc9278a3354e3ffa8de7ebdb1cf9ff27f625d0bbf5ff965cb,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A1-SEG-2A1C,O007-FREMLIN-V2-APP-2A1,O007-RIGHTS-FREMLIN-DSL,8,2A1C,2A1C,2A1C,explicit,false,exposition,2A1C,2A1C,214,231,216,235,8733,9433,9166,9971,1086923c2b34a5762493ae2c5db45a9d8070b65436914ab913fc22ad0a68339b,e5f781af84e4a00c16151fbd1509de2550e4d5af226e71f9d9481d5f8d3b8abb,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A1-SEG-2A1D,O007-FREMLIN-V2-APP-2A1,O007-RIGHTS-FREMLIN-DSL,9,2A1D,2A1D,2A1D,explicit,false,exposition,2A1D,2A1D,232,236,236,240,9433,9639,9971,10187,03d01f1396f539fd304f79e7c2c667cc44fce02c21594e10bfe309a7e25101ae,f2ef310b3a2602e13991ddf6a1940dea28aecac6886c6a5984f85f8ee54d80f0,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A1-SEG-2A1DB,O007-FREMLIN-V2-APP-2A1,O007-RIGHTS-FREMLIN-DSL,10,2A1Db,2A1Db,2A1Db,explicit,false,exposition,2A1Db,2A1Db,237,244,241,248,9639,10092,10187,10677,947fdd778243397b4c33185307fba9332ff8d54e62364e9f86abd4ef274325b8,ffa8e3010a9516cf97e773214dea2b439f11304743e9d18c84d1e011e97fd1ac,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
