schema_version,record_type,id,unit_id,rights_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-S2A6-SEG-2A6-INTRO,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,1,2a6,2a6-intro,2a6-intro,unmarked-unit-introduction,false,exposition,2a6-intro,2a6-intro,1,15,1,15,0,483,0,496,3a96281f0246e39e47d677b9b821d65b3e23c368b4691edd0d607cc40531a80b,c40d199a9c89f2411f4e8abf9ce4245be9b8b7e9729277519c66da81e28e36ba,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S2A6-SEG-2A6A,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,2,2A6A,2A6A,2A6A,explicit,false,exposition,2A6A,2A6A,16,39,16,39,483,1295,496,1324,3eb209e35fe5e0b3e4bdbf6a1e98c432d305218e93fb53f2d034ae21c74fa45a,a2ef375b43a3c46f99d0147bc75ed8acc524d7e3e762b737ad15dc1c4e670941,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S2A6-SEG-2A6B,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,3,2A6B,2A6B,2A6B,explicit,false,exposition,2A6B,2A6B,40,66,40,64,1295,2416,1324,2530,88880b59b1856eef7159667576f0dc145981166ff6898d23b258cfd68570136b,b8461df86b633a1842f60daefca304048cfcd2e1e64dd1303540c2bbefa5402d,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S2A6-SEG-2A6C,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,4,2A6C,2A6C,2A6C,explicit,false,exposition,2A6C,2A6C,67,186,65,182,2416,6534,2530,6722,d6ec51f4a5cc3ebde2ce9db381ae50a0d5fedbd8b38325afa46fcb90e9db131f,0b8a1244b5552e6ba13bda8f0eadcc11550cc571d00c0dccc91c8473b3bc36b7,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
