schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,formula,O007-FREMLIN-V2-S2A6-FORMULA-0001,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S2A6-SEG-2A6-INTRO,1,2a6-intro,2a6-intro,10,10,218,227,216,225,\BbbR^r,\BbbR^r,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,$,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S2A6-FORMULA-0002,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S2A6-SEG-2A6A,2,2A6A,2A6A,19,19,597,608,620,631,r\times r,r\times r,9ee1ac0dea32efb0e12f4547c26a3ca0c1286f660c0d7814320dcca70fc8a3e5,9ee1ac0dea32efb0e12f4547c26a3ca0c1286f660c0d7814320dcca70fc8a3e5,0beaf518c84db75843bc5b6d53866f1a11b33be1bfee919b37481ebf013af9a1,$,0beaf518c84db75843bc5b6d53866f1a11b33be1bfee919b37481ebf013af9a1,0beaf518c84db75843bc5b6d53866f1a11b33be1bfee919b37481ebf013af9a1,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S2A6-FORMULA-0003,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S2A6-SEG-2A6A,3,2A6A,2A6A,19,19,621,624,632,635,T,T,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,$,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S2A6-FORMULA-0004,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S2A6-SEG-2A6A,4,2A6A,2A6A,20,20,649,657,662,670,\det T,\det T,851d938adb364165f7ec746566569f2e1742035ce5399c67ca0bf0a3054b2190,851d938adb364165f7ec746566569f2e1742035ce5399c67ca0bf0a3054b2190,49a612dd1d6ecd9b67b824631707eff8d8b9873bedc2bc3b4e9c539cb86a0a75,$,49a612dd1d6ecd9b67b824631707eff8d8b9873bedc2bc3b4e9c539cb86a0a75,49a612dd1d6ecd9b67b824631707eff8d8b9873bedc2bc3b4e9c539cb86a0a75,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S2A6-FORMULA-0005,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S2A6-SEG-2A6A,5,2A6A,2A6A,22,22,683,694,707,718,r\times r,r\times r,9ee1ac0dea32efb0e12f4547c26a3ca0c1286f660c0d7814320dcca70fc8a3e5,9ee1ac0dea32efb0e12f4547c26a3ca0c1286f660c0d7814320dcca70fc8a3e5,0beaf518c84db75843bc5b6d53866f1a11b33be1bfee919b37481ebf013af9a1,$,0beaf518c84db75843bc5b6d53866f1a11b33be1bfee919b37481ebf013af9a1,0beaf518c84db75843bc5b6d53866f1a11b33be1bfee919b37481ebf013af9a1,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S2A6-FORMULA-0006,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S2A6-SEG-2A6A,6,2A6A,2A6A,22,22,704,707,719,722,S,S,8de0b3c47f112c59745f717a626932264c422a7563954872e237b223af4ad643,8de0b3c47f112c59745f717a626932264c422a7563954872e237b223af4ad643,8de0b3c47f112c59745f717a626932264c422a7563954872e237b223af4ad643,$,8de0b3c47f112c59745f717a626932264c422a7563954872e237b223af4ad643,8de0b3c47f112c59745f717a626932264c422a7563954872e237b223af4ad643,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S2A6-FORMULA-0007,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S2A6-SEG-2A6A,7,2A6A,2A6A,22,22,712,715,727,730,T,T,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,$,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S2A6-FORMULA-0008,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S2A6-SEG-2A6A,8,2A6A,2A6A,23,23,719,741,732,754,\det ST=\det S\det T,\det ST=\det S\det T,19173993a19fe1961992b0775d4d1e8974f48b4404fb4f9fea9e43852a27e0de,19173993a19fe1961992b0775d4d1e8974f48b4404fb4f9fea9e43852a27e0de,258b62b9fe8d6ca5c9c14e862884a4b7850fe9fc5ead40a0eb1190bd4fd3004e,$,258b62b9fe8d6ca5c9c14e862884a4b7850fe9fc5ead40a0eb1190bd4fd3004e,258b62b9fe8d6ca5c9c14e862884a4b7850fe9fc5ead40a0eb1190bd4fd3004e,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S2A6-FORMULA-0009,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S2A6-SEG-2A6A,9,2A6A,2A6A,25,25,763,766,776,779,T,T,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,$,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S2A6-FORMULA-0010,O007-FREMLIN-V2-S2A6,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S2A6-SEG-2A6A,10,2A6A,2A6A,28,28,875,886,890,901,r\times r,r\times r,9ee1ac0dea32efb0e12f4547c26a3ca0c1286f660c0d7814320dcca70fc8a3e5,9ee1ac0dea32efb0e12f4547c26a3ca0c1286f660c0d7814320dcca70fc8a3e5,0beaf518c84db75843bc5b6d53866f1a11b33be1bfee919b37481ebf013af9a1,$,0beaf518c84db75843bc5b6d53866f1a11b33be1bfee919b37481ebf013af9a1,0beaf518c84db75843bc5b6d53866f1a11b33be1bfee919b37481ebf013af9a1,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
