schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,formula,O007-FREMLIN-V2-C25-INTRO-FORMULA-0001,O007-FREMLIN-V2-C25-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C25-INTRO-SEG-25-INTRO,1,25-intro,25-intro,13,12,484,488,470,474,\S,\S,130c1c9d587953d7d081a73ea4d2a9b8576e4ea9ad182e35346f2315af70582a,130c1c9d587953d7d081a73ea4d2a9b8576e4ea9ad182e35346f2315af70582a,130c1c9d587953d7d081a73ea4d2a9b8576e4ea9ad182e35346f2315af70582a,$,130c1c9d587953d7d081a73ea4d2a9b8576e4ea9ad182e35346f2315af70582a,130c1c9d587953d7d081a73ea4d2a9b8576e4ea9ad182e35346f2315af70582a,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C25-INTRO-FORMULA-0002,O007-FREMLIN-V2-C25-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C25-INTRO-SEG-25-INTRO,2,25-intro,25-intro,21,20,858,876,847,865,"\iint f(x,y)dxdy","\iint f(x,y)dxdy",e4743fcaf138f3647232ff672ebbba6114ae9ee7a997adc3e533102445ac9174,e4743fcaf138f3647232ff672ebbba6114ae9ee7a997adc3e533102445ac9174,a082097bc32b45f8e4e375bb25751a505b1e68380679613a7bda67352a5a581a,$,a082097bc32b45f8e4e375bb25751a505b1e68380679613a7bda67352a5a581a,a082097bc32b45f8e4e375bb25751a505b1e68380679613a7bda67352a5a581a,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C25-INTRO-FORMULA-0003,O007-FREMLIN-V2-C25-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C25-INTRO-SEG-25-INTRO,3,25-intro,25-intro,25,23,1092,1122,1064,1094,"\int_0^1(\int_y^1f(x,y)dx)dy","\int_0^1(\int_y^1f(x,y)dx)dy",e3040e7d192ffb31d88ca60c8a3137610c496eba31b83f4c7bb85f968bea7ab5,e3040e7d192ffb31d88ca60c8a3137610c496eba31b83f4c7bb85f968bea7ab5,e3040e7d192ffb31d88ca60c8a3137610c496eba31b83f4c7bb85f968bea7ab5,$,e3040e7d192ffb31d88ca60c8a3137610c496eba31b83f4c7bb85f968bea7ab5,e3040e7d192ffb31d88ca60c8a3137610c496eba31b83f4c7bb85f968bea7ab5,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C25-INTRO-FORMULA-0004,O007-FREMLIN-V2-C25-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C25-INTRO-SEG-25-INTRO,4,25-intro,25-intro,26,24,1139,1169,1107,1137,"\int_0^1(\int_0^xf(x,y)dy)dx","\int_0^1(\int_0^xf(x,y)dy)dx",0196cf06f812e595c761fe01eceac11b7a49e92943eeb6d33311d430e3055bc4,0196cf06f812e595c761fe01eceac11b7a49e92943eeb6d33311d430e3055bc4,0196cf06f812e595c761fe01eceac11b7a49e92943eeb6d33311d430e3055bc4,$,0196cf06f812e595c761fe01eceac11b7a49e92943eeb6d33311d430e3055bc4,0196cf06f812e595c761fe01eceac11b7a49e92943eeb6d33311d430e3055bc4,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C25-INTRO-FORMULA-0005,O007-FREMLIN-V2-C25-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C25-INTRO-SEG-25-INTRO,5,25-intro,25-intro,27,26,1271,1280,1258,1267,\int_Df,\int_Df,497b7bbb2bb338b785b9ff28ffdf97c01237808f7d3ef37e43a471d3dea63d77,497b7bbb2bb338b785b9ff28ffdf97c01237808f7d3ef37e43a471d3dea63d77,497b7bbb2bb338b785b9ff28ffdf97c01237808f7d3ef37e43a471d3dea63d77,$,497b7bbb2bb338b785b9ff28ffdf97c01237808f7d3ef37e43a471d3dea63d77,497b7bbb2bb338b785b9ff28ffdf97c01237808f7d3ef37e43a471d3dea63d77,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C25-INTRO-FORMULA-0006,O007-FREMLIN-V2-C25-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C25-INTRO-SEG-25-INTRO,6,25-intro,25-intro,28,26,1289,1319,1276,1306,"D=\{(x,y):0\le y\le x\le 1\}","D=\{(x,y):0\le y\le x\le 1\}",53e225b4a95c207182ae1b328694d5f29e5c3884f6829646c2ea8cb057ab360a,53e225b4a95c207182ae1b328694d5f29e5c3884f6829646c2ea8cb057ab360a,1e06047f80cc672d610b912e4bbab0574b9c9196321c271dad2b2407050ed3d2,$,1e06047f80cc672d610b912e4bbab0574b9c9196321c271dad2b2407050ed3d2,1e06047f80cc672d610b912e4bbab0574b9c9196321c271dad2b2407050ed3d2,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C25-INTRO-FORMULA-0007,O007-FREMLIN-V2-C25-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C25-INTRO-SEG-25-INTRO,7,25-intro,25-intro,33,31,1702,1705,1675,1678,f,f,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,$,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C25-INTRO-FORMULA-0008,O007-FREMLIN-V2-C25-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C25-INTRO-SEG-25-INTRO,8,25-intro,25-intro,34,31,1711,1714,1683,1686,D,D,3f39d5c348e5b79d06e842c114e6cc571583bbf44e4b0ebfda1a01ec05745d43,3f39d5c348e5b79d06e842c114e6cc571583bbf44e4b0ebfda1a01ec05745d43,3f39d5c348e5b79d06e842c114e6cc571583bbf44e4b0ebfda1a01ec05745d43,$,3f39d5c348e5b79d06e842c114e6cc571583bbf44e4b0ebfda1a01ec05745d43,3f39d5c348e5b79d06e842c114e6cc571583bbf44e4b0ebfda1a01ec05745d43,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C25-INTRO-FORMULA-0009,O007-FREMLIN-V2-C25-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C25-INTRO-SEG-25-INTRO,9,25-intro,25-intro,41,37,2068,2084,2005,2021,"(X,\Sigma,\mu)","(X,\Sigma,\mu)",05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,$,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C25-INTRO-FORMULA-0010,O007-FREMLIN-V2-C25-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C25-INTRO-SEG-25-INTRO,10,25-intro,25-intro,41,38,2089,2103,2026,2040,"(Y,\Tau,\nu)","(Y,\Tau,\nu)",72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,$,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
