schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,formula,O007-FREMLIN-V2-C24-INTRO-FORMULA-0001,O007-FREMLIN-V2-C24-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C24-INTRO-SEG-24-INTRO,1,24-intro,24-intro,34,33,1609,1614,1698,1703,L^0,L^0,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,$,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C24-INTRO-FORMULA-0002,O007-FREMLIN-V2-C24-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C24-INTRO-SEG-24-INTRO,2,24-intro,24-intro,36,35,1752,1757,1816,1821,L^1,L^1,9d0fbf856fe55b032eaac1d3cc54b65eb406a5231c658bf5d96c01b0eddfbee3,9d0fbf856fe55b032eaac1d3cc54b65eb406a5231c658bf5d96c01b0eddfbee3,9d0fbf856fe55b032eaac1d3cc54b65eb406a5231c658bf5d96c01b0eddfbee3,$,9d0fbf856fe55b032eaac1d3cc54b65eb406a5231c658bf5d96c01b0eddfbee3,9d0fbf856fe55b032eaac1d3cc54b65eb406a5231c658bf5d96c01b0eddfbee3,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C24-INTRO-FORMULA-0003,O007-FREMLIN-V2-C24-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C24-INTRO-SEG-24-INTRO,3,24-intro,24-intro,37,36,1806,1818,1872,1884,L^{\infty},L^{\infty},78a4126aa7bf2982d3fda504bb032af482859d41123569b379ce30447473769c,78a4126aa7bf2982d3fda504bb032af482859d41123569b379ce30447473769c,78a4126aa7bf2982d3fda504bb032af482859d41123569b379ce30447473769c,$,78a4126aa7bf2982d3fda504bb032af482859d41123569b379ce30447473769c,78a4126aa7bf2982d3fda504bb032af482859d41123569b379ce30447473769c,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C24-INTRO-FORMULA-0004,O007-FREMLIN-V2-C24-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C24-INTRO-SEG-24-INTRO,4,24-intro,24-intro,38,36,1878,1883,1941,1946,L^p,L^p,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,$,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C24-INTRO-FORMULA-0005,O007-FREMLIN-V2-C24-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C24-INTRO-SEG-24-INTRO,5,24-intro,24-intro,39,37,1909,1912,1996,1999,p,p,148de9c5a7a44d19e56cd9ae1a554bf67847afb0c58f6e12fa29ac7ddfca9940,148de9c5a7a44d19e56cd9ae1a554bf67847afb0c58f6e12fa29ac7ddfca9940,148de9c5a7a44d19e56cd9ae1a554bf67847afb0c58f6e12fa29ac7ddfca9940,$,148de9c5a7a44d19e56cd9ae1a554bf67847afb0c58f6e12fa29ac7ddfca9940,148de9c5a7a44d19e56cd9ae1a554bf67847afb0c58f6e12fa29ac7ddfca9940,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C24-INTRO-FORMULA-0006,O007-FREMLIN-V2-C24-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C24-INTRO-SEG-24-INTRO,6,24-intro,24-intro,40,39,2029,2034,2110,2115,L^p,L^p,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,$,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C24-INTRO-FORMULA-0007,O007-FREMLIN-V2-C24-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C24-INTRO-SEG-24-INTRO,7,24-intro,24-intro,41,39,2041,2058,2122,2139,1\le p\le\infty,1\le p\le\infty,b3b89701555a128ee3f7ce1c2714b2ad15364065fe97437b222a762dd9d496bf,b3b89701555a128ee3f7ce1c2714b2ad15364065fe97437b222a762dd9d496bf,ab2f6aa97dcb2910b5529762000a897d59810ac541ff735cf315905de0655274,$,ab2f6aa97dcb2910b5529762000a897d59810ac541ff735cf315905de0655274,ab2f6aa97dcb2910b5529762000a897d59810ac541ff735cf315905de0655274,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C24-INTRO-FORMULA-0008,O007-FREMLIN-V2-C24-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C24-INTRO-SEG-24-INTRO,8,24-intro,24-intro,41,39,2067,2072,2154,2159,L^0,L^0,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,$,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C24-INTRO-FORMULA-0009,O007-FREMLIN-V2-C24-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C24-INTRO-SEG-24-INTRO,9,24-intro,24-intro,41,40,2128,2133,2202,2207,L^0,L^0,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,$,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-C24-INTRO-FORMULA-0010,O007-FREMLIN-V2-C24-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-C24-INTRO-SEG-24-INTRO,10,24-intro,24-intro,42,42,2279,2284,2364,2369,L^0,L^0,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,$,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
