schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,semantic_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V1-S121-XREF-001,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121-INTRO,section-reference,O007-FREMLIN-V1-S111,1,121,121-intro,111,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt121.tex:11: $\sigma$-algebras of sets, following \S111;  there will be no mention","{""basis"":""literal printed source expression '\\\\S111'; ranges expand into separate typed atomic edges while repeated occurrences remain distinct"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S121-XREF-002,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121-INTRO,result-reference,O007-FREMLIN-V1-S121-SEG-121C,2,121,121-intro,121C,resolved-in-unit,authority/fremlin/source/mt1.2011/mt121.tex:13: establish the concept of `measurable function' (121C) and a variety of,"{""basis"":""literal printed source expression '121C'; ranges expand into separate typed atomic edges while repeated occurrences remain distinct"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S121-XREF-003,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121-INTRO,result-reference,O007-FREMLIN-V1-S111-SEG-111G,3,121,121-intro,111G,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt121.tex:17: $\Bbb R$\cmmnt{ (111G)};  the,"{""basis"":""literal printed source expression '111G'; ranges expand into separate typed atomic edges while repeated occurrences remain distinct"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S121-XREF-004,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121-INTRO,result-reference,O007-FREMLIN-V1-S114-SEG-114E,4,121,121-intro,114E,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt121.tex:19: $\Bbb R$\cmmnt{ (114E)} is a good second.,"{""basis"":""literal printed source expression '114E'; ranges expand into separate typed atomic edges while repeated occurrences remain distinct"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S121-XREF-005,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121-INTRO,result-reference,O007-FREMLIN-V1-S121-SEG-121A,5,121,121-intro,121A,resolved-in-unit,authority/fremlin/source/mt1.2011/mt121.tex:21: Throughout the exposition here (starting with 121A) I seek to deal with,"{""basis"":""literal printed source expression '121A'; ranges expand into separate typed atomic edges while repeated occurrences remain distinct"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S121-XREF-006,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121-INTRO,result-reference,O007-FREMLIN-V1-S121-SEG-121G,6,121,121-intro,121G,resolved-in-unit,authority/fremlin/source/mt1.2011/mt121.tex:24: up to such functions at an early stage\cmmnt{ (see 121G)};  but undeniably,"{""basis"":""literal printed source expression '121G'; ranges expand into separate typed atomic edges while repeated occurrences remain distinct"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S121-XREF-007,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121B,result-reference,O007-FREMLIN-V1-S111-SEG-111DD,7,121B,121B,111Dd,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt121.tex:83: $\Sigma_D$ is closed under countable intersections (111Dd).,"{""basis"":""literal printed source expression '111Dd'; ranges expand into separate typed atomic edges while repeated occurrences remain distinct"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S121-XREF-008,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121C,result-reference,O007-FREMLIN-V1-S121-SEG-121B,8,121C,121C,121B,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt121.tex:121: satisfies any, or equivalently all, of the conditions (i)-(iv) of 121B.","{""basis"":""literal printed source expression '121B'; ranges expand into separate typed atomic edges while repeated occurrences remain distinct"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S121-XREF-009,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121C,result-reference,O007-FREMLIN-V1-S111-SEG-111G,9,121C,121C,111G,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt121.tex:124: $\sigma$-algebra\cmmnt{ (111G)}, a $\Sigma$-measurable function is","{""basis"":""literal printed source expression '111G'; ranges expand into separate typed atomic edges while repeated occurrences remain distinct"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S121-XREF-010,O007-FREMLIN-V1-S121,O007-FREMLIN-V1-S121-SEG-121C,result-reference,O007-FREMLIN-V1-S114-SEG-114E,10,121C,121C,114E,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt121.tex:127: the $\sigma$-algebra of Lebesgue measurable sets\cmmnt{ (114E, 115E)},","{""basis"":""literal printed source expression '114E'; ranges expand into separate typed atomic edges while repeated occurrences remain distinct"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
