schema_version,record_type,id,unit_id,rights_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-APP-2A4-SEG-2A4-INTRO,O007-FREMLIN-V2-APP-2A4,O007-RIGHTS-FREMLIN-DSL,1,2a4,2a4-intro,2a4-intro,unmarked-unit-introduction,false,exposition,2a4-intro,2a4-intro,1,17,1,18,0,622,0,663,dac49492068cb103a565db9a7c7e4b2ddcea5b127e8d3c864e072c50e99c352b,e67882d2ff252a2f0bceb1817b880535b6c69dc96e4abf4c63182b867a2d2e83,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A4-SEG-2A4A,O007-FREMLIN-V2-APP-2A4,O007-RIGHTS-FREMLIN-DSL,2,2A4A,2A4A,2A4A,explicit,false,exposition,2A4A,2A4A,18,34,19,33,622,1368,663,1394,a4828cf1668f809a122d02e58254ed2b746e3c4a97a7be2d3d93a4cb5a342931,47233f12a126f9c4a052fd633edb2c5cc0bce14826979ee31bcc1a8f89e0650a,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A4-SEG-2A4B,O007-FREMLIN-V2-APP-2A4,O007-RIGHTS-FREMLIN-DSL,3,2A4B,2A4B,2A4B,explicit,false,exposition,2A4B,2A4B,35,48,34,49,1368,1886,1394,1939,3fe88ea5d3c40af24b285737fdd805c859a3b8600ed6c1db104c90a6758bc684,143745a3b0eb83fa51d1c3a35677e6f855e783d2d6d60315f70e023a405f12ba,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A4-SEG-2A4BB,O007-FREMLIN-V2-APP-2A4,O007-RIGHTS-FREMLIN-DSL,4,2A4Bb,2A4Bb,2A4Bb,explicit,false,exposition,2A4Bb,2A4Bb,49,64,50,68,1886,2575,1939,2687,f24d70d3a42fcc1ab1fd26107cd28d5f1ed0195e1c028e26f5e3e2ea46266acc,dcbea64db40ac07a7c614b4efd96bd6162f7dd96f2def21e8dc8b61a4f3dc588,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A4-SEG-2A4BC,O007-FREMLIN-V2-APP-2A4,O007-RIGHTS-FREMLIN-DSL,5,2A4Bc,2A4Bc,2A4Bc,explicit,false,exposition,2A4Bc,2A4Bc,65,69,69,73,2575,2814,2687,2941,87173ecac59500c417e97ea8e830f48787e478108d3ffb252a97912c777b22ba,d6fd53d60d0079609ad0d243ff1551568030e16a4779ba139727e08bf27f43ca,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A4-SEG-2A4C,O007-FREMLIN-V2-APP-2A4,O007-RIGHTS-FREMLIN-DSL,6,2A4C,2A4C,2A4C,explicit,false,exposition,2A4C,2A4C,70,74,74,78,2814,3072,2941,3205,6f675bc1895b86703f9d9b3a86c9d224554007d4be377d0767d0a007b9ae91ef,8e224bd89db0ea70a91b6bc25343f192bba0736a7b895b16aa2230fe170d9472,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A4-SEG-2A4CB,O007-FREMLIN-V2-APP-2A4,O007-RIGHTS-FREMLIN-DSL,7,2A4Cb,2A4Cb,2A4Cb,explicit,false,exposition,2A4Cb,2A4Cb,75,90,79,94,3072,3788,3205,3957,bdae325ba737316fdb6288b1d6396aa2bce32fd85201f31abe32e0917c823b56,a55614fab314d71e78f02b64a02bfbae769a72326015f8847b6ffaabf48a074f,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A4-SEG-2A4D,O007-FREMLIN-V2-APP-2A4,O007-RIGHTS-FREMLIN-DSL,8,2A4D,2A4D,2A4D,explicit,false,exposition,2A4D,2A4D,91,96,95,100,3788,4077,3957,4271,815b89fd136807a1c519e0a44c6eae1f8eab01ebc8548312f22aa04bf568ee3e,29a8c583e8cfadc7673f2b4866e6b03a1c3b854708b1b5f42a56924bae90d9e2,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A4-SEG-2A4DB,O007-FREMLIN-V2-APP-2A4,O007-RIGHTS-FREMLIN-DSL,9,2A4Db,2A4Db,2A4Db,explicit,false,exposition,2A4Db,2A4Db,97,100,101,104,4077,4230,4271,4431,b979182f629ac8d397b47f4063407b412cf887e7bb962b720e956758fa52816f,f42183d28dfafd6793c5ceb226f055af74e635ab6a33a4254a8349211ccbd448,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A4-SEG-2A4E,O007-FREMLIN-V2-APP-2A4,O007-RIGHTS-FREMLIN-DSL,10,2A4E,2A4E,2A4E,explicit,false,exposition,2A4E,2A4E,101,130,105,135,4230,5435,4431,5695,43bd57031b642c9169ca2eed449ea53650aafad5f3de1d482fd0cfee8c532f13,d8adab35842f72c8e4af508289cb4b512f3e01429cd06bf9c9b58a54f41ded3f,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
