schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,correction_ids,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,formula,O007-FREMLIN-V2-APP-2A3-FORMULA-0001,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-APP-2A3-SEG-2A3-INTRO,1,2a3-intro,2a3-intro,5,5,99,107,99,107,\Bbb#1,\Bbb#1,67f637aea8612d071bc623404bfae0c262c7666da3f3894a6b11ec30c7bf3e73,67f637aea8612d071bc623404bfae0c262c7666da3f3894a6b11ec30c7bf3e73,67f637aea8612d071bc623404bfae0c262c7666da3f3894a6b11ec30c7bf3e73,$,,67f637aea8612d071bc623404bfae0c262c7666da3f3894a6b11ec30c7bf3e73,67f637aea8612d071bc623404bfae0c262c7666da3f3894a6b11ec30c7bf3e73,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-APP-2A3-FORMULA-0002,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-APP-2A3-SEG-2A3-INTRO,2,2a3-intro,2a3-intro,6,6,131,139,131,139,\Bbb#1,\Bbb#1,67f637aea8612d071bc623404bfae0c262c7666da3f3894a6b11ec30c7bf3e73,67f637aea8612d071bc623404bfae0c262c7666da3f3894a6b11ec30c7bf3e73,67f637aea8612d071bc623404bfae0c262c7666da3f3894a6b11ec30c7bf3e73,$,,67f637aea8612d071bc623404bfae0c262c7666da3f3894a6b11ec30c7bf3e73,67f637aea8612d071bc623404bfae0c262c7666da3f3894a6b11ec30c7bf3e73,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-APP-2A3-FORMULA-0003,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-APP-2A3-SEG-2A3-INTRO,3,2a3-intro,2a3-intro,7,7,163,183,163,183,\scriptstyle\Bbb#1,\scriptstyle\Bbb#1,7fd8aac5d28db0c3dba35579ad40df38fca58bf7ce24664e5c4d03a35a0f6334,7fd8aac5d28db0c3dba35579ad40df38fca58bf7ce24664e5c4d03a35a0f6334,7fd8aac5d28db0c3dba35579ad40df38fca58bf7ce24664e5c4d03a35a0f6334,$,,7fd8aac5d28db0c3dba35579ad40df38fca58bf7ce24664e5c4d03a35a0f6334,7fd8aac5d28db0c3dba35579ad40df38fca58bf7ce24664e5c4d03a35a0f6334,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-APP-2A3-FORMULA-0004,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-APP-2A3-SEG-2A3-INTRO,4,2a3-intro,2a3-intro,8,8,207,233,207,233,\scriptscriptstyle\Bbb#1,\scriptscriptstyle\Bbb#1,331afbe9637c7b7a10b4a6560a88e94957f394838768647b0a6acf499d71951f,331afbe9637c7b7a10b4a6560a88e94957f394838768647b0a6acf499d71951f,331afbe9637c7b7a10b4a6560a88e94957f394838768647b0a6acf499d71951f,$,,331afbe9637c7b7a10b4a6560a88e94957f394838768647b0a6acf499d71951f,331afbe9637c7b7a10b4a6560a88e94957f394838768647b0a6acf499d71951f,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-APP-2A3-FORMULA-0005,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-APP-2A3-SEG-2A3A,5,2A3A,2A3A,27,26,913,916,1027,1030,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-APP-2A3-FORMULA-0006,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-APP-2A3-SEG-2A3A,6,2A3A,2A3A,28,27,949,952,1084,1087,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-APP-2A3-FORMULA-0007,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-APP-2A3-SEG-2A3A,7,2A3A,2A3A,28,27,965,974,1104,1113,\frak T,\frak T,0647f8d3ad6092ab3a9c92fd71ee29d66b86e14d9c9582db084142bee077c226,0647f8d3ad6092ab3a9c92fd71ee29d66b86e14d9c9582db084142bee077c226,44c7e1dba9432c4271c4d22b9a844dc7f447c4cb30f1129ac0c3db3f54646d4b,$,,44c7e1dba9432c4271c4d22b9a844dc7f447c4cb30f1129ac0c3db3f54646d4b,44c7e1dba9432c4271c4d22b9a844dc7f447c4cb30f1129ac0c3db3f54646d4b,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-APP-2A3-FORMULA-0008,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-APP-2A3-SEG-2A3A,8,2A3A,2A3A,28,28,989,992,1135,1138,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-APP-2A3-FORMULA-0009,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-APP-2A3-SEG-2A3A,9,2A3A,2A3A,29,28,1007,1018,1163,1174,\emptyset,\emptyset,8d2cacefc75ba038f020cd92e4b0cf1458ad543ef8d3393b99fc1787330c38b5,8d2cacefc75ba038f020cd92e4b0cf1458ad543ef8d3393b99fc1787330c38b5,8d2cacefc75ba038f020cd92e4b0cf1458ad543ef8d3393b99fc1787330c38b5,$,,8d2cacefc75ba038f020cd92e4b0cf1458ad543ef8d3393b99fc1787330c38b5,8d2cacefc75ba038f020cd92e4b0cf1458ad543ef8d3393b99fc1787330c38b5,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-APP-2A3-FORMULA-0010,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-APP-2A3-SEG-2A3A,10,2A3A,2A3A,29,28,1020,1033,1176,1189,X\in\frak T,X\in\frak T,8d58ece5224c0e895ee1b94c2041f71db778ae0b18b5ca2ac5eacb224a0eeef7,8d58ece5224c0e895ee1b94c2041f71db778ae0b18b5ca2ac5eacb224a0eeef7,a9e24e9ef8a680b75129e949299198750e2f8b24e265ffee8a203d6d57a652a4,$,,a9e24e9ef8a680b75129e949299198750e2f8b24e265ffee8a203d6d57a652a4,a9e24e9ef8a680b75129e949299198750e2f8b24e265ffee8a203d6d57a652a4,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
