schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-S223-SEG-223-INTRO,O007-FREMLIN-V2-S223,O007-RIGHTS-FREMLIN-DSL,,1,223,223-intro,223-intro,unmarked-unit-introduction,false,exposition,223-intro,223-intro,11,23,11,22,240,1045,209,1034,815a65b3656c82e49c0b3115881f4725cc5b9b186b373145ad744b6e0ea19c3c,adcc4141918cb5f33717549a397239734cbef79d2a4fec1ee583a3977eaef522,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S223-SEG-223A,O007-FREMLIN-V2-S223,O007-RIGHTS-FREMLIN-DSL,,2,223A,223A,223A,explicit,false,exposition,223A,223A,24,49,23,48,1045,1943,1034,1890,fbba5b26b87ce4e93e62614857fb51c346b861cd62bba1871d9f82d851dee829,d0c85530c42d1cd4effa45fe6ba83d3081bfb6227502d4413fa159724240cc77,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S223-SEG-223B,O007-FREMLIN-V2-S223,O007-RIGHTS-FREMLIN-DSL,,3,223B,223B,223B,explicit,false,exposition,223B,223B,50,83,49,84,1943,3111,1890,3044,2346be8e0ddae86d200fa4b4418b30e20748cbc7a57721e8d5c31f44ae6cadbb,ccdad924a577a4ae0e18e64ce5735ea1c2666e49ea1dadd91ab87f4b0f67ca5f,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S223-SEG-223C,O007-FREMLIN-V2-S223,O007-RIGHTS-FREMLIN-DSL,,4,223C,223C,223C,explicit,false,exposition,223C,223C,84,145,85,145,3111,5050,3044,4919,680a07a80d0447b9ae37a0857028a37eeaec3604615b2bbfacec3787898125b6,faf6d061422561677a4fb761035418e9071bb01bc1d0095dae0d8ee82a792cf2,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S223-SEG-223D,O007-FREMLIN-V2-S223,O007-RIGHTS-FREMLIN-DSL,,5,223D,223D,223D,explicit,false,exposition,223D,223D,146,211,146,213,5050,7327,4919,7179,18f1d18db87552a424a67c8a86633cce572f540b65916d03c2e3e5b83d020ea5,2d10695678517429c37200e5d443af898748166f72341057aaf49ad37a732887,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S223-SEG-223E,O007-FREMLIN-V2-S223,O007-RIGHTS-FREMLIN-DSL,,6,223E,223E,223E,explicit,false,exposition,223E,223E,212,220,214,221,7327,7833,7179,7690,765ec577dac107cd191cff233de95a9e0c8f2075f414a9b387a1c868a81bae23,78dd445ad522ddfe3d5fcd463c5394240d2d88e9ba6a1989d9e0f07f58395b07,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S223-SEG-223EA,O007-FREMLIN-V2-S223,O007-RIGHTS-FREMLIN-DSL,,7,223Ea,223Ea,223Ea,explicit,false,exposition,223Ea,223Ea,221,230,222,231,7833,8199,7690,8037,d74e1a580b9e72cd06708fd50faf929fb82a17128b78d9e0793de9d1a001262b,5beeeef3ababbe38eff3ddb8fcedfc4d031c163018d9c3fc5c29923ae87fcf78,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S223-SEG-223EB,O007-FREMLIN-V2-S223,O007-RIGHTS-FREMLIN-DSL,,8,223Eb,223Eb,223Eb,explicit,false,exposition,223Eb,223Eb,231,239,232,240,8199,8515,8037,8354,f56f08ef5fbdd3fa072533b3ce8d4e8d5a9c168fb484a10c03b2be6c39ca9ee1,dfdd907127a8d1fa1c1913baac38b9cf4af722e0cd56bde8d2336762c38e485a,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S223-SEG-223EC,O007-FREMLIN-V2-S223,O007-RIGHTS-FREMLIN-DSL,,9,223Ec,223Ec,223Ec,explicit,false,exposition,223Ec,223Ec,240,248,241,249,8515,8808,8354,8630,9a16c7cda441712542cdd9d512d52f4f9e5c29727ed6e278b2ece613e75e10a2,285c25db85a4d1530920a9b2081800c3535f86ee439ce5ec97b207e2a0be0e70,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S223-SEG-223X,O007-FREMLIN-V2-S223,O007-RIGHTS-FREMLIN-DSL,,10,223X,223X,223X,explicit,false,exercise,223X,223X,249,254,250,255,8808,9043,8630,8865,998b369b14d6e63d2cb874c9ea218bbc1a0edbd532cc1cd1f2699b2257445d75,a3dc08ba5bcf37326209112f17ce73dcd8f8cdc237881a89e9f8f35b0c0182b2,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
