schema_version,record_type,id,unit_id,rights_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5-INTRO,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,1,2a5,2a5-intro,2a5-intro,unmarked-unit-introduction,false,exposition,2a5-intro,2a5-intro,1,13,1,13,0,318,0,329,b9f5648c9e21395b7698cefad403a08ff73f5f4859414df2d748ef5dc0e496f3,d2f2c1ce4f759c9701626b17342d142882e873fa17d23a5c9bb2587b891a3400,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5A,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,2,2A5A,2A5A,2A5A,explicit,false,exposition,2A5A,2A5A,14,39,14,39,318,1272,329,1309,f85800bae35f4b232c446dbe798de9f730657b1fd79c2fe9dfbcfd0736bd6409,e9ecb7d95ecd762bb63997c84b53c3f09193d16b2f4b712c9c31744bda42b0f1,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5B,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,3,2A5B,2A5B,2A5B,explicit,false,exposition,2A5B,2A5B,40,180,40,181,1272,5355,1309,5562,eb335beead83ca499cb368571c049bfdc01d306fa34a9973a47f67331fed3b13,edb1093fcefb1701f494027ee708f472dccd39aebf39aa518f1ab9df4ba35dfc,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5C,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,4,*2A5C,*2A5C,*2A5C,explicit,false,exposition,*2A5C,*2A5C,181,201,182,202,5355,5847,5562,6107,ed8622b03f331d6ea278e1c6989473a7b76ac0741b2e24c42aad6f108aa0274c,e0fd300f942d8cc12030884bd012e26d03fe29e7aa993cb1cc0d70baff1208b2,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5D,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,5,2A5D,2A5D,2A5D,explicit,false,exposition,2A5D,2A5D,202,215,203,215,5847,6346,6107,6637,c5ae17be04282381f245d1e55114b3854cf7d7ef6836d72bf1bd7b3902734796,3025b5837a20187ae0229811d4d907fd7ff0bdd0b1695e496700f31921dda712,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5E,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,6,2A5E,2A5E,2A5E,explicit,false,exposition,2A5E,2A5E,216,228,216,229,6346,7035,6637,7421,a9db8d39fc93c2ce0a3b9f63950375fa8e6076b237ac5bb74dddd76e5b3ac416,13c3fe8e4090dc4012d9d0192923518a0b9f4858c51f256f55e540523efd458d,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5EB,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,7,2A5Eb,2A5Eb,2A5Eb,explicit,false,exposition,2A5Eb,2A5Eb,229,234,230,236,7035,7347,7421,7771,9dbb5c17ed123278fde8f469b12a309f1ae66a7eaec8dfc2f329a8a277824472,f59b51afd5cdf5399625c0fd7e5b18e1ba5f2ebea300df18fc477ddca0212829,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5EC,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,8,2A5Ec,2A5Ec,2A5Ec,explicit,false,exposition,2A5Ec,2A5Ec,235,239,237,242,7347,7569,7771,8007,25d776f294135fa29e10f5ceee4239d31a1df38f3b4977781fa98053e8770a48,2f2dbd8498e949006721a8bb345f2310ddf4821bead547f13e829753b06e5ed9,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5F,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,9,2A5F,2A5F,2A5F,explicit,false,exposition,2A5F,2A5F,240,262,243,264,7569,8670,8007,9199,792593ef6982447ff1ea2e8f33f4b87dd3e039ecb166de1aed6d5d10f7f9f01f,52f6a57104e69ba2990239c051a95dc5e05d8de470e78f4b98332aff3e8a1a51,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A5-SEG-2A5G,O007-FREMLIN-V2-APP-2A5,O007-RIGHTS-FREMLIN-DSL,10,2A5G,2A5G,2A5G,explicit,false,exposition,2A5G,2A5G,263,290,265,294,8670,9885,9199,10526,05fbef270ecb6c029fb17582ba2738d11c975c13d4b47438dab5781f927c4127,73a64c95d15c28b95cf0addb5079f0d95825976670c140d5d177cfcf01891ad9,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
