schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-S252-SEG-252-INTRO,O007-FREMLIN-V2-S252,O007-RIGHTS-FREMLIN-DSL,,1,252,252-intro,252-intro,unmarked-unit-introduction,false,exposition,252-intro,252-intro,12,24,12,23,203,885,198,907,ad3919bcdd2968a8d1ff509ae7431ff212fe9cbe00aa8e67798a6184d9ec408c,b3f710d40ddae9a35533e129ecc4cb0cdfb82a32191e26bb0f98714a137cb957,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S252-SEG-252A,O007-FREMLIN-V2-S252,O007-RIGHTS-FREMLIN-DSL,,2,252A,252A,252A,explicit,false,exposition,252A,252A,25,66,24,63,885,2570,907,2694,8fa6835e39b14ee8dbc75b0cb2f227cd9cd0816a72162ec312e827bf617b5037,16e9ccaceb981c67773ef650caf23aa8ecc1841d002104ada263e9c6d30e0f3c,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S252-SEG-252B,O007-FREMLIN-V2-S252,O007-RIGHTS-FREMLIN-DSL,,3,252B,252B,252B,explicit,false,exposition,252B,252B,67,486,64,498,2570,18680,2694,19985,81809ddd49ad0aaaedba0d05a89094403238620862ebef96553797f374cace79,c6e326cdcac9d65787fc54506c64eafb6d152400ba555a9fe0b51c929fed8bd0,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S252-SEG-252C,O007-FREMLIN-V2-S252,O007-RIGHTS-FREMLIN-DSL,,4,252C,252C,252C,explicit,false,exposition,252C,252C,487,506,499,519,18680,19477,19985,20830,243cb2c2c9c79e55e3c167b8b20ac89c33f11da5e70f91e33e04063b7783030d,82efb22346f816d62fa9a1f50843b09c0fdc362e6c98ee1aa1796c9562a39db1,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S252-SEG-252D,O007-FREMLIN-V2-S252,O007-RIGHTS-FREMLIN-DSL,,5,252D,252D,252D,explicit,false,exposition,252D,252D,507,535,520,551,19477,20654,20830,22056,06058173c2479aecb2a5afb49d440d1d8d7c1eb7b7f55dc389b60d6e44c04f0c,bff12a6af3f2d7217da574d29380b067714b6e868ecc0578d72542e2bbd61c64,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S252-SEG-252E,O007-FREMLIN-V2-S252,O007-RIGHTS-FREMLIN-DSL,,6,252E,252E,252E,explicit,false,exposition,252E,252E,536,588,552,606,20654,22776,22056,24458,5662b7a7c430eebae85c49a312d051e9e606620a52047e158d1c87f8e129175a,833f33d32c77940c7834707f0cb6bfd491bc96aaff762290f9c3a04b7531f9bf,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S252-SEG-252F,O007-FREMLIN-V2-S252,O007-RIGHTS-FREMLIN-DSL,,7,252F,252F,252F,explicit,false,exposition,252F,252F,589,618,607,635,22776,23997,24458,25773,49879491677f2b6be111608be726fac045ee2d4752582bdb4f3574658d0bb3c1,83fd92c16fda51bd3bd5703e8d3c48287c234db837843ac4a32ad06b48c42664,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S252-SEG-252G,O007-FREMLIN-V2-S252,O007-RIGHTS-FREMLIN-DSL,,8,252G,252G,252G,explicit,false,exposition,252G,252G,619,737,636,757,23997,28144,25773,30408,76ebd49c114d381bdf457e178467cb28a9c77fbbc985fcd5d99d2f15c42b9278,87cdae99e0b41efdd00dbe0460672442e97723188760b0efba50b27fe73535a3,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S252-SEG-252H,O007-FREMLIN-V2-S252,O007-RIGHTS-FREMLIN-DSL,,9,252H,252H,252H,explicit,false,exposition,252H,252H,738,804,758,826,28144,30430,30408,32958,29ec7e909e1bc05613bd12c67d94bc4e16b0b5a17122a9a3a4b1cac7fd0538a4,dcd5351c9d3e321aeaee533712aa31ddd53d92309dcdec965ce98f354f0e1097,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S252-SEG-252I,O007-FREMLIN-V2-S252,O007-RIGHTS-FREMLIN-DSL,,10,252I,252I,252I,explicit,false,exposition,252I,252I,805,823,827,846,30430,31043,32958,33603,385547d7f915e2f7738d3f50345ddb898d228770fc12b924ce0d7673f50638ab,ccd954f357b5c31eda2260c8fa8408ad78d968f4527083e41a8f4da5ad4571af,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
