schema_version,record_type,id,unit_id,rights_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-APP-2A2-SEG-2A2-INTRO,O007-FREMLIN-V2-APP-2A2,O007-RIGHTS-FREMLIN-DSL,1,2a2,2a2-intro,2a2-intro,unmarked-unit-introduction,false,exposition,2a2-intro,2a2-intro,1,23,1,22,0,909,0,945,6149910aa6a5ae47a1ffab864760830ce326a9c4dc21e99c319141cfb57b1f3c,5c30260a3fb0b3351765e0391f2e88599ea0c85e922fbf2311c122f8ec2d2838,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A2-SEG-2A2A,O007-FREMLIN-V2-APP-2A2,O007-RIGHTS-FREMLIN-DSL,2,2A2A,2A2A,2A2A,explicit,false,exposition,2A2A,2A2A,24,30,23,30,909,1326,945,1413,2e0c1919040ce39fa6e76cf20dbb1650229d762e0c86ad0804329fbf8d89598d,db6077036793e8369dbc8e9daa27775ab36a1acd3b09ab4f46fa54749c0f9ad5,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A2-SEG-2A2B,O007-FREMLIN-V2-APP-2A2,O007-RIGHTS-FREMLIN-DSL,3,2A2B,2A2B,2A2B,explicit,false,exposition,2A2B,2A2B,31,70,31,70,1326,2842,1413,2994,5417174cf99b59712ba1318b18c93a2bdf41523d63b858c1df257cab4d8a0493,d973f9b91f01a925e29b086777fe67214328866bedfe267bf93e3435de57ee34,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A2-SEG-2A2C,O007-FREMLIN-V2-APP-2A2,O007-RIGHTS-FREMLIN-DSL,4,2A2C,2A2C,2A2C,explicit,false,exposition,2A2C,2A2C,71,115,71,116,2842,4753,2994,5010,1153aa54dc663fc8601c9497a130ce3149a009e681f5de6b801a827f5020b652,1dd0c14d7888744ba17322256bf15f6f549390ce5b2d8d38ad4ebad432e0d3cd,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A2-SEG-2A2CB,O007-FREMLIN-V2-APP-2A2,O007-RIGHTS-FREMLIN-DSL,5,2A2Cb,2A2Cb,2A2Cb,explicit,false,exposition,2A2Cb,2A2Cb,116,134,117,136,4753,5649,5010,5935,1c8d97516297745fe5e0dd114b3ee98a100d0c2e32dd2c3aeb846a13ff5592a2,cfdfe4fe43b774e008d3529f924990e64136128b3caa94320450d6b1ac131dd0,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A2-SEG-2A2CC,O007-FREMLIN-V2-APP-2A2,O007-RIGHTS-FREMLIN-DSL,6,2A2Cc,2A2Cc,2A2Cc,explicit,false,exposition,2A2Cc,2A2Cc,135,144,137,145,5649,6137,5935,6410,725ccb87b88c3340728f3116245c3956a0e0314ff106d55d769841271b89db23,f0f1994aa0acc183a2bbf511688afc3f0c1f5b3c1b17c00b3171c26d5d55d4f2,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A2-SEG-2A2D,O007-FREMLIN-V2-APP-2A2,O007-RIGHTS-FREMLIN-DSL,7,2A2D,2A2D,2A2D,explicit,false,exposition,2A2D,2A2D,145,149,146,150,6137,6377,6410,6690,28b4a931cdb4a6bccf6e41cb71fa67f012603b308b2e16394c0b7fdc182d7614,df541233b293f608996359855171568931a69a05dcef943970d0291cd5b2644e,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A2-SEG-2A2E,O007-FREMLIN-V2-APP-2A2,O007-RIGHTS-FREMLIN-DSL,8,2A2E,2A2E,2A2E,explicit,false,exposition,2A2E,2A2E,150,152,151,154,6377,6500,6690,6837,1af20a777b0bde46e8961033810da99187773aa837bf9de5db5c54860885fb02,f590a4dbf33b26bc215892db741ee4efd2d79d1e19142ddabef7fde76a00b440,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A2-SEG-2A2EA,O007-FREMLIN-V2-APP-2A2,O007-RIGHTS-FREMLIN-DSL,9,2A2Ea,2A2Ea,2A2Ea,explicit,false,exposition,2A2Ea,2A2Ea,153,159,155,162,6500,6920,6837,7298,910e7a94736b358049f3afbd19daa82c0e94cd3df87e7e7826ebac8a34091b1d,dbc74797b18b7e18c971780c2a1a312dce46d3ff9cd4cec51a367eb8bbec28de,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A2-SEG-2A2EB,O007-FREMLIN-V2-APP-2A2,O007-RIGHTS-FREMLIN-DSL,10,2A2Eb,2A2Eb,2A2Eb,explicit,false,exposition,2A2Eb,2A2Eb,160,178,163,180,6920,7784,7298,8219,8a6edd271d466bb6eb6a9a6151fe5a1d042b6c04e041788b886588416d28a094,51e1be2852d5e7d359af00a188b20d628f494ed84a87241273a5e1b846f1200f,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A2-SEG-2A2EC,O007-FREMLIN-V2-APP-2A2,O007-RIGHTS-FREMLIN-DSL,11,2A2Ec,2A2Ec,2A2Ec,explicit,false,exposition,2A2Ec,2A2Ec,179,195,181,198,7784,8457,8219,8911,38e16f1b315d94b1e62ab665b44a101c321fd6b287af43a0c71f4280cdec529e,bd5e9c66b93aade42b6e844ffb9faa7bba2d71d25effb543f1f2784986d8a540,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A2-SEG-2A2ED,O007-FREMLIN-V2-APP-2A2,O007-RIGHTS-FREMLIN-DSL,12,2A2Ed,2A2Ed,2A2Ed,explicit,false,exposition,2A2Ed,2A2Ed,196,229,199,234,8457,9638,8911,10163,ea59a4e93df8f6d2918248ee167e3285ff4b541131f2000a49b055c5157f47e8,f7b88870cd569a3790dd2262b2b9a8da2f43b4b329d565ba2d5cf22fcaedb51b,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
