schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V2-S271-XREF-0001,O007-FREMLIN-V2-S271,O007-FREMLIN-V2-S271-SEG-271-INTRO,source-reference,O007-FREMLIN-V2-S271-SEG-271G,1,271-intro,271G,resolved-in-unit,authority/fremlin/source/mt2.2016/mt271.tex:14,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S271-XREF-0002,O007-FREMLIN-V2-S271,O007-FREMLIN-V2-S271-SEG-271-INTRO,source-reference,O007-FREMLIN-V2-S271-SEG-271E,2,271-intro,271E,resolved-in-unit,authority/fremlin/source/mt2.2016/mt271.tex:14,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S271-XREF-0003,O007-FREMLIN-V2-S271,O007-FREMLIN-V2-S271-SEG-271-INTRO,source-reference,O007-FREMLIN-V2-S271-SEG-271H,3,271-intro,271H,resolved-in-unit,authority/fremlin/source/mt2.2016/mt271.tex:15,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S271-XREF-0004,O007-FREMLIN-V2-S271,O007-FREMLIN-V2-S271-SEG-271-INTRO,source-reference,O007-FREMLIN-V2-S271-SEG-271K,4,271-intro,271K,resolved-in-unit,authority/fremlin/source/mt2.2016/mt271.tex:15,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S271-XREF-0005,O007-FREMLIN-V2-S271,O007-FREMLIN-V2-S271-SEG-271A,source-reference,O007-FREMLIN-XREF-241A,5,271A,241A,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt271.tex:46,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S271-XREF-0006,O007-FREMLIN-V2-S271,O007-FREMLIN-V2-S271-SEG-271AB,source-reference,O007-FREMLIN-XREF-133A,6,271Ab,133A,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt271.tex:65,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S271-XREF-0007,O007-FREMLIN-V2-S271,O007-FREMLIN-V2-S271-SEG-271AB,source-reference,O007-FREMLIN-XREF-122P,7,271Ab,122P,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt271.tex:68,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S271-XREF-0008,O007-FREMLIN-V2-S271,O007-FREMLIN-V2-S271-SEG-271AC,source-reference,O007-FREMLIN-XREF-244Xd,8,271Ac,244Xd,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt271.tex:78,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S271-XREF-0009,O007-FREMLIN-V2-S271,O007-FREMLIN-V2-S271-SEG-271AC,source-reference,O007-FREMLIN-XREF-244A,9,271Ac,244A,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt271.tex:80,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-S271-XREF-0010,O007-FREMLIN-V2-S271,O007-FREMLIN-V2-S271-SEG-271AD,source-reference,O007-FREMLIN-XREF-132B,10,271Ad,132B,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt271.tex:108,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
