schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-S271-SEG-271-INTRO,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,,1,271,271-intro,271-intro,unmarked-unit-introduction,false,exposition,271-intro,271-intro,10,18,10,18,156,562,153,569,db9eefc6aac948f0ee8aafd3453fa09d53a5baff3fbaab3d52a3357f33acfe2d,669b583e0141ad56e29e4f95bf77e50b1c4a8d5a2282b9ebcfaa1083fa054994,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S271-SEG-271A,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,,2,271A,271A,271A,explicit,false,exposition,271A,271A,19,56,19,55,562,2636,569,2833,3c4e99e0f9fb3e8b062807f481d785c624dea1179a94dca05980155568c1bd53,70de0e54b1dcbf50cc0a9bdd0f77c8649ee5af920447cc17b2f5298f948218b5,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S271-SEG-271AB,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,,3,271Ab,271Ab,271Ab,explicit,false,exposition,271Ab,271Ab,57,70,56,68,2636,3282,2833,3566,6d954fd5e6db39f006c2d3e78aa9486b324f5bd03cbc8c1e1181e12844a9ab10,40b9b34a48474f7cbd6b5dc7882885cdc1b47402379f8e6609dfab57213f7ba5,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S271-SEG-271AC,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,,4,271Ac,271Ac,271Ac,explicit,false,exposition,271Ac,271Ac,71,83,69,81,3282,3799,3566,4141,25d5a1aa0560df60eae525ce36f2bc0caa05d61f265deacd6e9fd0f761070aa6,87a2d318cb2fc50532acf6c5f63b2c16f2a7fa8b37aa6bd242a9df2ab70b3e56,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S271-SEG-271AD,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,,5,271Ad,271Ad,271Ad,explicit,false,exposition,271Ad,271Ad,84,137,82,135,3799,5981,4141,6547,6ada1affeff893b97d02a084ff4fec6c52dbe13eb606b55fdf89f9a0976221b5,12eafb118768080d63582c02bd06f60adbbe32c675e8ae64f4f0836322c42cf4,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S271-SEG-271B,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,,6,271B,271B,271B,explicit,false,exposition,271B,271B,138,211,136,211,5981,9090,6547,9846,d77610048124c6bb118f8f30508b8c32580a4b04c7f8505d90c78277872b3188,25f60992fbfd5046847fe6df2c5c66946696070fa4155bc4b4d8de21b7a7f93e,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S271-SEG-271C,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,,7,271C,271C,271C,explicit,false,exposition,271C,271C,212,220,212,221,9090,9573,9846,10370,27b543c2c1d81bae293ef0f57c3b8863a58b8ff8f96f3eab98357f450531ff5d,7ae86caac3dd98c8af3a05e063fc2e1d49e5b4e71f45ce2b2afbfe43ea11a9f9,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S271-SEG-271D,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,,8,271D,271D,271D,explicit,false,exposition,271D,271D,221,228,222,227,9573,9982,10370,10749,ad36a4f96b2704c1c6b99107559aa7624bd5ae780f0cf91c1afd20a2ceecd118,4a0434167e17ba4fdc5a2c095c25b760d9498e5649f261a8080ad2a4affbfd4c,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S271-SEG-271DB,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,,9,271Db,271Db,271Db,explicit,false,exposition,271Db,271Db,229,233,228,232,9982,10192,10749,10952,024fa9e6bfd52cd89d7623cb3698e71e48de3f7558ae449ccf8ecc2ae1c459c3,cbf05c0c5b49df321926133f5aa6cabfbfec82156fbc85ce737787172a632957,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S271-SEG-271DC,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,,10,271Dc,271Dc,271Dc,explicit,false,exposition,271Dc,271Dc,234,240,233,239,10192,10527,10952,11339,39a7a77b40b3adc00d78b8b8593ba1ed3b3bc94539d25f93913937b7c3471c88,e5f6f4c40ad67f0e1b2ef5d4d982a8350a8272040996dc19a5caf8bb3d63c153,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
