schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-S254-SEG-254-INTRO,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,,1,254,254-intro,254-intro,unmarked-unit-introduction,false,exposition,254-intro,254-intro,10,19,10,19,157,682,154,672,28e47323dbbc58485bfebd339aa565ea35fed361a3496e0482bc658942db7839,0eddb74154c3610caaba9615e5c98d2876f5b19c7bd429cd772eef4dfae53ba4,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S254-SEG-254A,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,,2,254A,254A,254A,explicit,false,exposition,254A,254A,20,44,20,44,682,1670,672,1760,7fe880522a454308dd7ae893bd72e8c47e0f0b7bbb2e4ed15adb7c014435422c,f2a05ec361bd2a2576dbe891a37b63cb72d14076af653fb9e975eaddfba78629,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S254-SEG-254AB,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,,3,254Ab,254Ab,254Ab,explicit,false,exposition,254Ab,254Ab,45,58,45,58,1670,2256,1760,2403,689faf5a0b59e811cb802f83af43324d6aef84b3295c7f490adf6297c571a9b5,8f9612fa92adf28c80ee65edc451a75f27c399a34062e5c17302dbef265b5d65,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S254-SEG-254AC,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,,4,254Ac,254Ac,254Ac,explicit,false,exposition,254Ac,254Ac,59,64,59,64,2256,2475,2403,2631,264f4701084422f575825d0fab832d3b4ead20829a0deed852ef00c3fdb2291f,733cb09ca01b778e98530d8536f8b5a70dd64fd0ec372dfd293e1d85e7e455b4,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S254-SEG-254B,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,,5,254B,254B,254B,explicit,false,exposition,254B,254B,65,69,65,69,2475,2638,2631,2819,591886a0ebfa91f085065f0602d9eb5214de5772b7745646a9eec47e3d5d9d93,c3a1509f4617e1be284ba14b0907da70fb26377764bc79cc2556b3a15b111b29,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S254-SEG-254C,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,,6,254C,254C,254C,explicit,false,exposition,254C,254C,70,77,70,77,2638,2967,2819,3164,271bc0622b4f8e8ebb26b208c2e087a6f969065334ef42afbeff920b67f57a58,be08e83382b7447ae5d3376bc65cfc99c55293d7879d6a1fa103943a4eb40663,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S254-SEG-254D,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,,7,254D,254D,254D,explicit,false,exposition,254D,254D,78,100,78,100,2967,4400,3164,4741,009a3c293ebcab95e8d45fe92c9fabbe0b7225ae9b7bb6825f55b91530ed8994,6b014b8f02073aae4f5b062ed6f93fe8d14bf47ae4daf6c48e18df834cc2e2d7,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S254-SEG-254DB,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,,8,254Db,254Db,254Db,explicit,false,exposition,254Db,254Db,101,133,101,133,4400,5643,4741,6093,774d003e8ed5e7c8bf038aca22143f19b18286a5268d9134f81b1f8b01898ea1,8194024ce18ce48ba07457296ec8b9609f174652223234b30bd23e1162daba86,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S254-SEG-254E,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,,9,254E,254E,254E,explicit,false,exposition,254E,254E,134,143,134,143,5643,6034,6093,6529,359b1b5c74278d6b660e2995d8e8cd3e44b93ac2f0490d43a8fbcaa3f543c710,99427f7c2e2b2de521cb78bd207a66ecd47cbfa74bdcbe6e169abb2c4365c38c,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S254-SEG-254F,O007-FREMLIN-V2-S254,O007-RIGHTS-FREMLIN-DSL,,10,254F,254F,254F,explicit,false,exposition,254F,254F,144,411,144,411,6034,16266,6529,17528,6b78d8bc7f51e45a68f47b82df54b7118ecd8880bf7135e414b991985794d0c6,70e95d03ea27f7ca761bf4fc3ceaa17994f40de8f5f6503e9b59606d2b99a247,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
