schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,formula,O007-FREMLIN-V2-CH27-INTRO-FORMULA-0001,O007-FREMLIN-V2-CH27-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CH27-INTRO-SEG-27-INTRO,1,27-intro,27-intro,23,22,805,813,889,897,\sigma,\sigma,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,$,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CH27-INTRO-FORMULA-0002,O007-FREMLIN-V2-CH27-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CH27-INTRO-SEG-27-INTRO,2,27-intro,27-intro,39,39,1889,1892,2069,2072,1,1,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,$,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CH27-INTRO-FORMULA-0003,O007-FREMLIN-V2-CH27-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CH27-INTRO-SEG-27-INTRO,3,27-intro,27-intro,40,40,1945,1949,2141,2145,\S,\S,130c1c9d587953d7d081a73ea4d2a9b8576e4ea9ad182e35346f2315af70582a,130c1c9d587953d7d081a73ea4d2a9b8576e4ea9ad182e35346f2315af70582a,130c1c9d587953d7d081a73ea4d2a9b8576e4ea9ad182e35346f2315af70582a,$,130c1c9d587953d7d081a73ea4d2a9b8576e4ea9ad182e35346f2315af70582a,130c1c9d587953d7d081a73ea4d2a9b8576e4ea9ad182e35346f2315af70582a,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CH27-INTRO-FORMULA-0004,O007-FREMLIN-V2-CH27-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CH27-INTRO-SEG-27-INTRO,4,27-intro,27-intro,51,50,2586,2602,2851,2867,"Z_0,\ldots,Z_n","Z_0,\ldots,Z_n",fa66df85ec9e3cf9f862ecd134e43f294f118449e884fa5f210c6cd944424195,fa66df85ec9e3cf9f862ecd134e43f294f118449e884fa5f210c6cd944424195,fa66df85ec9e3cf9f862ecd134e43f294f118449e884fa5f210c6cd944424195,$,fa66df85ec9e3cf9f862ecd134e43f294f118449e884fa5f210c6cd944424195,fa66df85ec9e3cf9f862ecd134e43f294f118449e884fa5f210c6cd944424195,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CH27-INTRO-FORMULA-0005,O007-FREMLIN-V2-CH27-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CH27-INTRO-SEG-27-INTRO,5,27-intro,27-intro,52,51,2680,2696,2944,2960,"X_0,\ldots,X_n","X_0,\ldots,X_n",a10abc05b0d955be75f14eafc7ab61e0ddae7cef4af437fde2a27c70e447f219,a10abc05b0d955be75f14eafc7ab61e0ddae7cef4af437fde2a27c70e447f219,a10abc05b0d955be75f14eafc7ab61e0ddae7cef4af437fde2a27c70e447f219,$,a10abc05b0d955be75f14eafc7ab61e0ddae7cef4af437fde2a27c70e447f219,a10abc05b0d955be75f14eafc7ab61e0ddae7cef4af437fde2a27c70e447f219,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CH27-INTRO-FORMULA-0006,O007-FREMLIN-V2-CH27-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CH27-INTRO-SEG-27-INTRO,6,27-intro,27-intro,53,52,2752,2773,3029,3050,\Omega\times\Omega',\Omega\times\Omega',1e3ed8ea5d49bf65613ec6db57b0de9caf6ace6bcd68912452b51ed225dfa95f,1e3ed8ea5d49bf65613ec6db57b0de9caf6ace6bcd68912452b51ed225dfa95f,1e3ed8ea5d49bf65613ec6db57b0de9caf6ace6bcd68912452b51ed225dfa95f,$,1e3ed8ea5d49bf65613ec6db57b0de9caf6ace6bcd68912452b51ed225dfa95f,1e3ed8ea5d49bf65613ec6db57b0de9caf6ace6bcd68912452b51ed225dfa95f,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CH27-INTRO-FORMULA-0007,O007-FREMLIN-V2-CH27-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CH27-INTRO-SEG-27-INTRO,7,27-intro,27-intro,54,53,2788,2822,3064,3098,"X'_i(\omega,\omega')=X_i(\omega)","X'_i(\omega,\omega')=X_i(\omega)",4013a52dfefc896680ffcc695baf8aa7e3c04e2abd000f33260916643123da9a,4013a52dfefc896680ffcc695baf8aa7e3c04e2abd000f33260916643123da9a,4013a52dfefc896680ffcc695baf8aa7e3c04e2abd000f33260916643123da9a,$,4013a52dfefc896680ffcc695baf8aa7e3c04e2abd000f33260916643123da9a,4013a52dfefc896680ffcc695baf8aa7e3c04e2abd000f33260916643123da9a,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CH27-INTRO-FORMULA-0008,O007-FREMLIN-V2-CH27-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CH27-INTRO-SEG-27-INTRO,8,27-intro,27-intro,54,53,2834,2839,3110,3115,Z_i,Z_i,bc1f10031646b5b4a3013c3fae11fafc4640581422e7f41f8ddca39d83a7c0ce,bc1f10031646b5b4a3013c3fae11fafc4640581422e7f41f8ddca39d83a7c0ce,bc1f10031646b5b4a3013c3fae11fafc4640581422e7f41f8ddca39d83a7c0ce,$,bc1f10031646b5b4a3013c3fae11fafc4640581422e7f41f8ddca39d83a7c0ce,bc1f10031646b5b4a3013c3fae11fafc4640581422e7f41f8ddca39d83a7c0ce,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CH27-INTRO-FORMULA-0009,O007-FREMLIN-V2-CH27-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CH27-INTRO-SEG-27-INTRO,9,27-intro,27-intro,55,54,2858,2867,3138,3147,\omega',\omega',efdf8990a98fa39d864afcb8a4f6571eb963045ead268f1caf3deb0fa0618e05,efdf8990a98fa39d864afcb8a4f6571eb963045ead268f1caf3deb0fa0618e05,efdf8990a98fa39d864afcb8a4f6571eb963045ead268f1caf3deb0fa0618e05,$,efdf8990a98fa39d864afcb8a4f6571eb963045ead268f1caf3deb0fa0618e05,efdf8990a98fa39d864afcb8a4f6571eb963045ead268f1caf3deb0fa0618e05,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CH27-INTRO-FORMULA-0010,O007-FREMLIN-V2-CH27-INTRO,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CH27-INTRO-SEG-27-INTRO,10,27-intro,27-intro,55,54,2902,2907,3175,3180,X_i,X_i,5027fc9a4ade4dc0a25022544eed75fce6ff27aa86fa0aba3ff4b8296deba52c,5027fc9a4ade4dc0a25022544eed75fce6ff27aa86fa0aba3ff4b8296deba52c,5027fc9a4ade4dc0a25022544eed75fce6ff27aa86fa0aba3ff4b8296deba52c,$,5027fc9a4ade4dc0a25022544eed75fce6ff27aa86fa0aba3ff4b8296deba52c,5027fc9a4ade4dc0a25022544eed75fce6ff27aa86fa0aba3ff4b8296deba52c,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
