schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V2-MTI-V12-XREF-0330,O007-FREMLIN-V2-MTI-V12,O007-FREMLIN-V2-MTI-V12-SEG-MTI-V12,source-reference,O007-FREMLIN-XREF-121H,330,MTI-V12,121H,resolved-in-corpus,backend/index/mti-volume12-active-baseline.tex:2643,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-MTI-V12-XREF-0331,O007-FREMLIN-V2-MTI-V12,O007-FREMLIN-V2-MTI-V12-SEG-MTI-V12,source-reference,O007-FREMLIN-XREF-121K,331,MTI-V12,121K,resolved-in-corpus,backend/index/mti-volume12-active-baseline.tex:2643,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-MTI-V12-XREF-0332,O007-FREMLIN-V2-MTI-V12,O007-FREMLIN-V2-MTI-V12-SEG-MTI-V12,source-reference,O007-FREMLIN-XREF-121Yd,332,MTI-V12,121Yd,resolved-in-corpus,backend/index/mti-volume12-active-baseline.tex:2643,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-MTI-V12-XREF-0333,O007-FREMLIN-V2-MTI-V12,O007-FREMLIN-V2-MTI-V12-SEG-MTI-V12,source-reference,O007-FREMLIN-XREF-134Fd,333,MTI-V12,134Fd,resolved-in-corpus,backend/index/mti-volume12-active-baseline.tex:2643,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-MTI-V12-XREF-0334,O007-FREMLIN-V2-MTI-V12,O007-FREMLIN-V2-MTI-V12-SEG-MTI-V12,source-reference,O007-FREMLIN-XREF-134Xg,334,MTI-V12,134Xg,resolved-in-corpus,backend/index/mti-volume12-active-baseline.tex:2643,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-MTI-V12-XREF-0335,O007-FREMLIN-V2-MTI-V12,O007-FREMLIN-V2-MTI-V12-SEG-MTI-V12,source-reference,O007-FREMLIN-XREF-134Yt,335,MTI-V12,134Yt,resolved-in-corpus,backend/index/mti-volume12-active-baseline.tex:2643,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-MTI-V12-XREF-0336,O007-FREMLIN-V2-MTI-V12,O007-FREMLIN-V2-MTI-V12-SEG-MTI-V12,source-reference,O007-FREMLIN-XREF-135Ef,336,MTI-V12,135Ef,resolved-in-corpus,backend/index/mti-volume12-active-baseline.tex:2644,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-MTI-V12-XREF-0337,O007-FREMLIN-V2-MTI-V12,O007-FREMLIN-V2-MTI-V12-SEG-MTI-V12,source-reference,O007-FREMLIN-XREF-135Xc,337,MTI-V12,135Xc,resolved-in-corpus,backend/index/mti-volume12-active-baseline.tex:2644,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-MTI-V12-XREF-0338,O007-FREMLIN-V2-MTI-V12,O007-FREMLIN-V2-MTI-V12-SEG-MTI-V12,source-reference,O007-FREMLIN-XREF-135Xe,338,MTI-V12,135Xe,resolved-in-corpus,backend/index/mti-volume12-active-baseline.tex:2644,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-MTI-V12-XREF-0339,O007-FREMLIN-V2-MTI-V12,O007-FREMLIN-V2-MTI-V12-SEG-MTI-V12,source-reference,O007-FREMLIN-XREF-225H,339,MTI-V12,225H,resolved-in-corpus,backend/index/mti-volume12-active-baseline.tex:2645,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
