schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,semantic_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-001,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113BA,section-reference,O007-FREMLIN-V1-S112-SEG-112B,1,113B,113Ba,112B,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt113.tex:30: `$\infty$', see 112B.","{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-002,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113BB,section-range-reference,,2,113Bb,113Bb,114,selected-corpus-pending,authority/fremlin/source/mt1.2011/mt113.tex:34: \S\S114-115.   The idea of the `outer' measure of a set $A$ is,"{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-003,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113BB,section-range-reference,,3,113Bb,113Bb,115,selected-corpus-pending,authority/fremlin/source/mt1.2011/mt113.tex:34: \S\S114-115.   The idea of the `outer' measure of a set $A$ is,"{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-004,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113BC,result-reference,O007-FREMLIN-V1-S112-SEG-112CA,4,113Bc,113Bc,112Ca,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt113.tex:42: $X$, then $\theta(A\cup B)\le\theta A+\theta B$;  compare 112Ca and 112Cc.","{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-005,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113BC,result-reference,O007-FREMLIN-V1-S112-SEG-112CC,5,113Bc,113Bc,112Cc,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt113.tex:42: $X$, then $\theta(A\cup B)\le\theta A+\theta B$;  compare 112Ca and 112Cc.","{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-006,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113CA,result-reference,O007-FREMLIN-V1-S113-SEG-113BC,6,113C,113Ca,113Bc,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt113.tex:57: $\theta(A\cap E)+\theta(A\setminus E)\ge\theta A$, by 113Bc;  so that","{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-007,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113CD,definition-clause-reference,O007-FREMLIN-V1-S113-SEG-113A,7,113C,113Cd,113A(ii),resolved-in-unit,authority/fremlin/source/mt1.2011/mt113.tex:165: \noindent using 113A(ii) to see that,"{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-008,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113CD,definition-clause-reference,O007-FREMLIN-V1-S111-SEG-111A,8,113C,113Cd,111A(iii),resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt113.tex:181: condition (iii) of 111A is satisfied, and $\Sigma$ is a $\sigma$-algebra","{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-009,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113CE,definition-reference,O007-FREMLIN-V1-S112-SEG-112A,9,113C,113Ce,112A,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt113.tex:188: Definition 112A.   Of course $\mu\emptyset=\theta\emptyset=0$.   So let,"{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S113-XREF-010,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113-SEG-113CE,definition-clause-reference,O007-FREMLIN-V1-S112-SEG-112A,10,113C,113Ce,112A(iii-beta),resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt113.tex:218: $\langle E_n\rangle_{n\in\Bbb N}$ is arbitrary, 112A(iii-$\beta$) is","{""basis"":""explicit printed source reference; printed ranges are expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
