schema_version,record_type,id,unit_id,subject_id,relation_type,object_id,order,provenance
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0001,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214-INTRO,precedes,O007-FREMLIN-V2-S214-SEG-214A,1,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0002,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214A,precedes,O007-FREMLIN-V2-S214-SEG-214B,2,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0003,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214B,precedes,O007-FREMLIN-V2-S214-SEG-214C,3,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0004,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214C,precedes,O007-FREMLIN-V2-S214-SEG-214D,4,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0005,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214D,precedes,O007-FREMLIN-V2-S214-SEG-214E,5,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0006,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214E,precedes,O007-FREMLIN-V2-S214-SEG-214F,6,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0007,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214F,precedes,O007-FREMLIN-V2-S214-SEG-214G,7,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0008,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214G,precedes,O007-FREMLIN-V2-S214-SEG-214H,8,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0009,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214H,precedes,O007-FREMLIN-V2-S214-SEG-214I,9,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0010,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214I,precedes,O007-FREMLIN-V2-S214-SEG-214J,10,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0011,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214J,precedes,O007-FREMLIN-V2-S214-SEG-214K,11,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0012,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214K,precedes,O007-FREMLIN-V2-S214-SEG-214L,12,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0013,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214L,precedes,O007-FREMLIN-V2-S214-SEG-214M,13,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0014,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214M,precedes,O007-FREMLIN-V2-S214-SEG-214N,14,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0015,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214N,precedes,O007-FREMLIN-V2-S214-SEG-214O,15,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0016,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214O,precedes,O007-FREMLIN-V2-S214-SEG-214P,16,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0017,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214P,precedes,O007-FREMLIN-V2-S214-SEG-214Q,17,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0018,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214Q,precedes,O007-FREMLIN-V2-S214-SEG-214X,18,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0019,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214X,precedes,O007-FREMLIN-V2-S214-SEG-214XA,19,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S214-REL-0020,O007-FREMLIN-V2-S214,O007-FREMLIN-V2-S214-SEG-214XA,precedes,O007-FREMLIN-V2-S214-SEG-214XB,20,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
