schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,correction_ids,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,formula,O007-FREMLIN-V2-S234-FORMULA-0001,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S234-SEG-234A,1,234A,234A,26,26,989,1005,1034,1050,"(X,\Sigma,\mu)","(X,\Sigma,\mu)",05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,$,,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S234-FORMULA-0002,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S234-SEG-234A,2,234A,234A,26,26,1010,1024,1055,1069,"(Y,\Tau,\nu)","(Y,\Tau,\nu)",72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,$,,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S234-FORMULA-0003,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S234-SEG-234A,3,234A,234A,27,27,1056,1069,1102,1115,\phi:X\to Y,\phi:X\to Y,13bd91bfe4efd20d71a6b34c7581ddd8571b38f73d5e0bdd9de604c7badbba99,13bd91bfe4efd20d71a6b34c7581ddd8571b38f73d5e0bdd9de604c7badbba99,ff574878676958526aeff476d34e96ebf519db9f8a28e89cc9e76db0b39b4ebc,$,,ff574878676958526aeff476d34e96ebf519db9f8a28e89cc9e76db0b39b4ebc,ff574878676958526aeff476d34e96ebf519db9f8a28e89cc9e76db0b39b4ebc,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S234-FORMULA-0004,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S234-SEG-234A,4,234A,234A,28,28,1087,1110,1140,1163,\phi^{-1}[F]\in\Sigma,\phi^{-1}[F]\in\Sigma,57b300b90f8ce9da25233461e54ce39876dedd6a2867b179c43b17b3abdb2a3e,57b300b90f8ce9da25233461e54ce39876dedd6a2867b179c43b17b3abdb2a3e,57b300b90f8ce9da25233461e54ce39876dedd6a2867b179c43b17b3abdb2a3e,$,,57b300b90f8ce9da25233461e54ce39876dedd6a2867b179c43b17b3abdb2a3e,57b300b90f8ce9da25233461e54ce39876dedd6a2867b179c43b17b3abdb2a3e,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S234-FORMULA-0005,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S234-SEG-234A,5,234A,234A,28,28,1115,1140,1168,1193,\mu(\phi^{-1}[F])=\nu F,\mu(\phi^{-1}[F])=\nu F,9c4cc480aafda6f77e6f10cc401710213ad997e2c470b106d4fdf64847fdc2b1,9c4cc480aafda6f77e6f10cc401710213ad997e2c470b106d4fdf64847fdc2b1,bd1174fb7b96ddf2fed28f762b82db20dc489266f47a95b890c7d3a6ef922f59,$,,bd1174fb7b96ddf2fed28f762b82db20dc489266f47a95b890c7d3a6ef922f59,bd1174fb7b96ddf2fed28f762b82db20dc489266f47a95b890c7d3a6ef922f59,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S234-FORMULA-0006,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S234-SEG-234A,6,234A,234A,29,29,1151,1161,1207,1217,F\in\Tau,F\in\Tau,1c89dd885b17d49d2d61b2430cf1f8956e6b04ce6f3295ea1c11ffbf00b7fb98,1c89dd885b17d49d2d61b2430cf1f8956e6b04ce6f3295ea1c11ffbf00b7fb98,1c89dd885b17d49d2d61b2430cf1f8956e6b04ce6f3295ea1c11ffbf00b7fb98,$,,1c89dd885b17d49d2d61b2430cf1f8956e6b04ce6f3295ea1c11ffbf00b7fb98,1c89dd885b17d49d2d61b2430cf1f8956e6b04ce6f3295ea1c11ffbf00b7fb98,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S234-FORMULA-0007,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S234-SEG-234B,7,234B,234B,31,31,1195,1211,1254,1270,"(X,\Sigma,\mu)","(X,\Sigma,\mu)",05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,$,,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S234-FORMULA-0008,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S234-SEG-234B,8,234B,234B,31,31,1216,1230,1275,1289,"(Y,\Tau,\nu)","(Y,\Tau,\nu)",72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,$,,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S234-FORMULA-0009,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S234-SEG-234B,9,234B,234B,32,32,1254,1267,1306,1319,\phi:X\to Y,\phi:X\to Y,13bd91bfe4efd20d71a6b34c7581ddd8571b38f73d5e0bdd9de604c7badbba99,13bd91bfe4efd20d71a6b34c7581ddd8571b38f73d5e0bdd9de604c7badbba99,ff574878676958526aeff476d34e96ebf519db9f8a28e89cc9e76db0b39b4ebc,$,,ff574878676958526aeff476d34e96ebf519db9f8a28e89cc9e76db0b39b4ebc,ff574878676958526aeff476d34e96ebf519db9f8a28e89cc9e76db0b39b4ebc,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S234-FORMULA-0010,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S234-SEG-234B,10,234B,234B,35,35,1317,1326,1371,1380,\hat\mu,\hat\mu,d1e9a95489321a5ca10c083f17736e906448aa68b9d28168dbfd63f5703e8d4a,d1e9a95489321a5ca10c083f17736e906448aa68b9d28168dbfd63f5703e8d4a,d1e9a95489321a5ca10c083f17736e906448aa68b9d28168dbfd63f5703e8d4a,$,,d1e9a95489321a5ca10c083f17736e906448aa68b9d28168dbfd63f5703e8d4a,d1e9a95489321a5ca10c083f17736e906448aa68b9d28168dbfd63f5703e8d4a,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
