schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,correction_ids,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,formula,O007-FREMLIN-V2-S235-FORMULA-0001,O007-FREMLIN-V2-S235,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S235-SEG-235-INTRO,1,235-intro,235-intro,16,16,472,511,472,511,\int g(y)dy=\int g(\phi(x))\phi'(x)dx,\int g(y)dy=\int g(\phi(x))\phi'(x)dx,cf2b17fd5da8923eafa4a8dfd532b0bff6d091a4e86ce318279f9d347a46df78,cf2b17fd5da8923eafa4a8dfd532b0bff6d091a4e86ce318279f9d347a46df78,cb94038cae20340996839c486048d1d4dc8dd53601ab5aa241c88e143e107a1b,$,,cb94038cae20340996839c486048d1d4dc8dd53601ab5aa241c88e143e107a1b,cb94038cae20340996839c486048d1d4dc8dd53601ab5aa241c88e143e107a1b,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S235-FORMULA-0002,O007-FREMLIN-V2-S235,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S235-SEG-235-INTRO,2,235-intro,235-intro,18,18,569,575,562,568,\phi,\phi,10ce0200b450ea955833553e717821c7721818b8a95cffd7e54b46e08918b512,10ce0200b450ea955833553e717821c7721818b8a95cffd7e54b46e08918b512,10ce0200b450ea955833553e717821c7721818b8a95cffd7e54b46e08918b512,$,,10ce0200b450ea955833553e717821c7721818b8a95cffd7e54b46e08918b512,10ce0200b450ea955833553e717821c7721818b8a95cffd7e54b46e08918b512,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S235-FORMULA-0003,O007-FREMLIN-V2-S235,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S235-SEG-235A,3,235A,235A,29,29,1015,1031,1020,1036,"(X,\Sigma,\mu)","(X,\Sigma,\mu)",05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,$,,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S235-FORMULA-0004,O007-FREMLIN-V2-S235,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S235-SEG-235A,4,235A,235A,29,29,1036,1050,1041,1055,"(Y,\Tau,\nu)","(Y,\Tau,\nu)",72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,$,,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,72f1568945b9d44585331097f08f4d96f55f95b4711d2316a28c61729527ca59,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S235-FORMULA-0005,O007-FREMLIN-V2-S235,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S235-SEG-235A,5,235A,235A,30,30,1075,1095,1078,1098,\phi:D_{\phi}\to Y,\phi:D_{\phi}\to Y,b7c065d6f890f88c21f39e72021e72dc57969a05227dd71fc96a4dd56c070d6a,b7c065d6f890f88c21f39e72021e72dc57969a05227dd71fc96a4dd56c070d6a,94c99c01e1d2ae0c5120d22911961eecafd81456098c04e7155cdf66077efd70,$,,94c99c01e1d2ae0c5120d22911961eecafd81456098c04e7155cdf66077efd70,94c99c01e1d2ae0c5120d22911961eecafd81456098c04e7155cdf66077efd70,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S235-FORMULA-0006,O007-FREMLIN-V2-S235,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S235-SEG-235A,6,235A,235A,30,31,1097,1123,1100,1126,"J:D_J\to\coint{0,\infty}","J:D_J\to\coint{0,\infty}",491b32f03d6841ad70efda8fe812cafd0dcb8449eb8c18942d8f3c7468246f1c,491b32f03d6841ad70efda8fe812cafd0dcb8449eb8c18942d8f3c7468246f1c,491b32f03d6841ad70efda8fe812cafd0dcb8449eb8c18942d8f3c7468246f1c,$,,491b32f03d6841ad70efda8fe812cafd0dcb8449eb8c18942d8f3c7468246f1c,491b32f03d6841ad70efda8fe812cafd0dcb8449eb8c18942d8f3c7468246f1c,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S235-FORMULA-0007,O007-FREMLIN-V2-S235,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S235-SEG-235A,7,235A,235A,31,32,1167,1177,1190,1200,D_{\phi},D_{\phi},7892a971498e2369ca147af3d1f1960d74c595da601d5e449019c8e589f02b2c,7892a971498e2369ca147af3d1f1960d74c595da601d5e449019c8e589f02b2c,7892a971498e2369ca147af3d1f1960d74c595da601d5e449019c8e589f02b2c,$,,7892a971498e2369ca147af3d1f1960d74c595da601d5e449019c8e589f02b2c,7892a971498e2369ca147af3d1f1960d74c595da601d5e449019c8e589f02b2c,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S235-FORMULA-0008,O007-FREMLIN-V2-S235,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S235-SEG-235A,8,235A,235A,31,32,1179,1184,1205,1210,D_J,D_J,e964dfaeac2bedc2ee49a5347415505a9d9e7e15b11b2062ecccec1c05f12fa3,e964dfaeac2bedc2ee49a5347415505a9d9e7e15b11b2062ecccec1c05f12fa3,e964dfaeac2bedc2ee49a5347415505a9d9e7e15b11b2062ecccec1c05f12fa3,$,,e964dfaeac2bedc2ee49a5347415505a9d9e7e15b11b2062ecccec1c05f12fa3,e964dfaeac2bedc2ee49a5347415505a9d9e7e15b11b2062ecccec1c05f12fa3,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S235-FORMULA-0009,O007-FREMLIN-V2-S235,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S235-SEG-235A,9,235A,235A,31,32,1188,1191,1216,1219,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S235-FORMULA-0010,O007-FREMLIN-V2-S235,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S235-SEG-235A,10,235A,235A,34,34,1218,1254,1253,1289,\int J\times\chi(\phi^{-1}[F])d\mu,\int J\times\chi(\phi^{-1}[F])d\mu,5a2c4adec50432834792fb6b1820b6315d7c7e55dd8ce84a2cc0252fc6782751,5a2c4adec50432834792fb6b1820b6315d7c7e55dd8ce84a2cc0252fc6782751,955cf6ba9d6a663dfa09269f3ccee96f8b424c55ee8170ab7d59dee1365cc316,$,,955cf6ba9d6a663dfa09269f3ccee96f8b424c55ee8170ab7d59dee1365cc316,955cf6ba9d6a663dfa09269f3ccee96f8b424c55ee8170ab7d59dee1365cc316,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
